Party and Electorate Candidate Votes Recorded at each Voting Place
Auckland Central 1,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Auckland City,"159 Nelson Street, Corner Nelson & Union Streets",13,0,1,80,0,183,0,67,1,2,0,0,0,0,2,13,0,362,2
,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",56,3,4,446,0,712,5,246,9,20,1,1,0,6,3,57,1,1570,12
,"ASB Waterfront Theatre, 138 Halsey Street",57,2,0,57,0,132,3,127,3,7,0,0,0,3,0,13,0,404,1
,"Auckland Chinese Presbyterian Church, 105 Vincent Street",8,0,0,49,0,78,0,25,1,3,0,2,0,0,1,4,0,171,1
,"Level 3 Atrium on Elliot, Elliot Street",72,2,2,251,0,684,4,218,14,27,0,0,0,2,0,31,0,1307,8
,"Liston Hall, 30-32 Hobson Street",95,2,0,133,0,412,5,236,5,13,0,0,0,0,2,22,0,925,6
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",166,6,1,579,0,910,4,374,9,16,1,0,1,8,5,55,0,2135,0
Freemans Bay,"Freemans Bay Primary School, 95 Wellington Street",29,0,0,104,0,200,0,63,1,4,0,0,0,0,0,11,0,412,0
Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",58,0,1,228,0,421,0,163,10,7,0,1,0,2,2,19,0,912,4
Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",34,3,0,109,0,275,0,151,2,9,0,0,0,0,0,14,0,597,3
,"Grey Lynn Library Hall, 474 Great North Road",26,1,1,127,0,178,0,81,1,4,0,0,0,0,0,6,0,425,0
,"Newton Central School, 15-19 Monmouth Street",1,0,0,20,0,27,0,4,2,1,0,0,0,0,0,0,0,55,0
,"Richmond Road School, 113 Richmond Road",14,0,0,54,0,64,0,35,0,0,0,0,0,0,0,3,0,170,1
Herne Bay,"Bayfield School, 2 Clifton Road",55,3,0,70,0,155,1,169,0,12,0,0,0,0,0,6,0,471,0
Hobsonville Point,"Catalina Bay (building opposite Farmers Market), Hobsonville Point, Hudson Bay Road Extension",2,0,1,4,0,5,0,4,0,0,0,0,0,0,0,1,0,17,0
Kingsland,"Congregational Christian Church of Samoa, 50 Bond Street",16,1,1,95,0,106,1,26,1,3,0,0,0,0,0,2,0,252,0
,"Kowhai Intermediate School, 26 Onslow Road",6,0,0,20,0,34,0,18,0,2,0,0,0,0,1,3,0,84,0
Mt Albert,"Ramblers Softball Club, 7 Cornwallis Street",1,0,0,7,0,18,0,10,0,3,0,0,0,0,0,0,0,39,0
,"UNITEC, Te Puna, Building 180, 139 Carrington Road",0,0,0,7,0,7,0,2,0,0,0,0,0,0,0,0,0,16,0
Mt Eden,"Auckland Grammar School Hockey Centre, 3/25 Normanby Road",13,2,0,47,0,67,0,16,0,3,0,0,0,0,0,1,0,149,0
,"Food Stuffs Building (formerly Auckland Deaf Society), 164 Balmoral Road",0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,1,0,19,0
,"Mt Eden Normal Primary School, 73 Valley Road",0,0,1,19,0,38,0,9,0,0,0,0,0,1,0,0,0,68,0
,"University of Auckland, Epsom Campus, Room B118, 74 Epsom Avenue (Gate 3)",0,0,0,1,0,11,0,1,0,1,0,0,0,0,0,0,0,14,0
,"Valley Road International Church Hall, 393 Mt Eden Road",2,1,0,9,0,10,0,7,0,0,0,0,0,0,0,0,0,29,0
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",45,0,2,116,0,317,0,153,4,7,0,1,0,0,0,18,0,663,2
Northcote,"AUT North Campus, AF113A, 90 Akoranga Drive",0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,7,0
Parnell,"Parnell Community Centre, Parnell Room, 545 Parnell Road",13,0,0,56,0,101,1,53,2,3,0,0,0,0,0,6,1,236,1
,"Parnell District School Hall, 48 St Stephens Avenue",15,0,1,15,0,56,0,42,1,1,0,0,0,0,1,9,0,141,0
Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",8,0,0,10,0,21,0,19,0,1,0,0,0,0,0,0,0,59,2
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",427,9,2,649,0,1655,8,1074,12,48,1,2,3,4,1,43,0,3938,16
,"Ponsonby Primary School, 44 Curran Street",26,0,0,32,0,70,0,66,0,1,0,0,0,0,1,1,0,197,1
Remuera,"Remuera Bowling Club, 5 Dromorne Road",2,0,0,1,0,5,0,7,0,0,0,0,0,0,0,1,0,16,0
,"St Mark's Church Hall, 95 Remuera Road",4,0,0,6,0,17,0,4,0,0,0,0,0,0,1,0,0,32,0
Waiheke Island,"Waiheke High School, 11 Donald Bruce Road",16,4,0,35,0,135,1,33,0,0,0,0,0,0,0,4,0,228,1
,"Waiheke Library, 131 Ocean View Road",221,39,15,608,0,2011,4,540,17,92,3,2,1,2,0,25,0,3580,15

Voting Places
Auckland City,"159 Nelson Street, Corner Nelson & Union Streets",3,0,0,14,0,55,0,34,2,2,0,0,0,0,0,3,0,113,2
,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",17,1,0,39,0,109,1,54,4,4,0,0,0,0,0,8,0,237,1
,"Auckland Chinese Presbyterian Church, 105 Vincent Street",3,0,0,4,0,32,0,10,1,0,0,0,0,1,1,0,0,52,1
,"Auckland High Court, 24 Waterloo Quadrant (corner Waterloo Quadrant & Parliament Street)",30,0,0,75,0,190,0,88,4,8,0,0,0,2,1,23,0,421,2
,"Level 3 Atrium on Elliot, Elliot Street",9,0,0,10,0,54,0,38,1,4,0,0,0,0,0,1,0,117,1
,"Liston Hall, 30-32 Hobson Street",24,4,0,26,0,75,0,72,1,8,0,0,0,0,0,6,0,216,2
,"Methodist Church, Wesley Hall, 78 Pitt Street",21,0,0,40,0,106,0,37,3,4,0,0,0,0,0,5,0,216,1
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",29,0,1,46,0,113,0,58,0,3,0,0,0,0,0,11,1,262,4
Freemans Bay,"Freemans Bay Primary School, 95 Wellington Street",29,0,0,66,1,125,2,63,0,6,0,1,0,0,0,6,0,299,0
Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",32,1,0,47,0,108,1,60,1,3,0,0,0,0,0,16,1,270,1
Great Barrier Island,"Aotea Community Art Gallery, Schoolmaster's House, 80 Hector Sanderson Road",9,14,1,27,0,90,0,41,3,11,0,0,0,1,0,5,0,202,1
,"Aotea Health, Nurses Cottage, 2077 Aotea Road",4,0,0,8,0,28,0,8,0,3,0,0,0,0,0,1,0,52,0
,"Okiwi School, 1606-1608 Aotea Road",2,0,0,6,0,16,1,5,0,1,0,0,0,1,0,0,0,32,0
,"Tryphena Mulberry Grove School, 271 Shoal Bay Road",10,8,0,27,0,100,1,23,1,5,2,0,0,0,1,0,0,178,4
,"Grey Lynn Community Centre, 510 Richmond Road",2,1,0,8,0,27,1,10,0,0,0,0,0,0,0,3,0,52,0
,"Grey Lynn Library Hall, 474 Great North Road",3,0,0,5,0,8,1,17,0,0,0,0,0,0,0,0,0,34,0
,"Newton Central School, 15-19 Monmouth Street",6,1,0,25,0,33,0,9,1,1,0,0,0,0,0,3,0,79,0
,"Richmond Road School, 113 Richmond Road",16,0,0,36,0,81,0,43,0,9,0,0,0,1,0,8,0,194,0
,"St Columba Church and Community Hall, 92 Surrey Crescent",0,0,0,3,0,7,0,1,1,1,0,0,0,0,0,0,0,13,0
Herne Bay,"Bayfield School, 2 Clifton Road",72,2,0,56,0,236,0,266,1,10,0,0,0,0,0,12,0,655,2
Kingsland,"Congregational Christian Church of Samoa, 50 Bond Street",1,1,0,13,0,20,0,13,1,5,0,0,0,0,0,3,0,57,0
,"Kowhai Intermediate School, 26 Onslow Road",3,1,0,7,0,28,0,10,0,1,0,0,0,1,0,0,0,51,0
Mt Eden,"Auckland Grammar School Hockey Centre, 3/25 Normanby Road",1,0,1,2,0,11,0,6,0,0,0,0,0,0,0,0,0,21,0
,"Mt Eden Normal Primary School, 73 Valley Road",1,1,0,0,0,12,0,7,0,0,0,0,0,0,0,1,0,22,0
,"Valley Road International Church Hall, 393 Mt Eden Road",2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,7,0
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",6,0,0,10,0,31,0,13,0,0,0,0,0,1,0,1,0,62,0
Newton,"Unitarian Church Hall, 1A Ponsonby Road",10,0,0,33,0,58,0,29,1,0,0,0,0,1,0,3,0,135,0
