Party and Electorate Candidate Votes Recorded at each Voting Place
East Coast Bays 10,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Albany,"Albany Community Hub, 575 Albany Highway",170,4,3,81,0,593,2,636,18,31,3,1,0,1,10,15,0,1568,5
,"Albany Primary School, 6 Bass Road",28,1,1,14,0,131,0,148,3,6,1,0,0,0,6,3,0,342,4
,"Albany Senior High School, 536 Albany Highway",23,0,0,11,0,56,0,54,1,0,1,0,0,0,0,0,0,146,1
,"Pinehurst School, 75 Bush Road",37,1,0,18,0,129,1,155,1,2,0,0,0,0,0,5,0,349,1
,"Westfield Mall, 219 Don McKinnon Drive",334,18,4,239,0,1633,8,1740,67,47,3,1,0,4,31,44,1,4174,24
Auckland City,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",1,0,0,3,0,16,0,4,0,0,0,0,0,0,0,0,0,24,0
,"Liston Hall, 30-32 Hobson Street",0,0,0,2,0,6,0,3,0,0,0,0,0,0,0,2,0,13,0
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",3,0,2,9,0,17,0,16,0,0,0,0,0,0,0,2,0,49,0
Browns Bay,"Browns Bay School, 4 Masterton Road",45,2,0,40,0,177,0,192,5,6,0,2,0,0,0,4,0,473,2
,"East Coast Bays Service Centre, 2 Glen Road",317,23,5,207,0,1513,5,1269,58,95,2,3,2,4,17,25,2,3547,16
,"Pinehill School, 2 Hugh Green Drive",48,1,4,28,0,213,2,287,10,9,1,1,0,0,3,5,0,612,4
,"Progress Hall, 6 Anzac Road",218,13,4,131,1,933,3,869,45,48,2,1,0,0,6,17,0,2291,12
Glenfield,"Girl Guides Glenfield (next to Glenfield War Memorial Hall), Hall Road",3,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,9,0
