Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Prisons Team - Taken in Remutaka,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,8,0
Avalon,"Avalon Pavilion, Avalon Park, 61 Taita Drive",13,1,0,18,0,130,1,54,3,4,0,2,0,1,0,3,0,230,2
,"Naenae College Hall, 910 High Street",0,0,0,2,0,10,0,5,0,1,0,1,0,0,0,1,0,20,0
Belmont,"Belmont Hall, 711 Western Hutt Road",46,3,0,55,0,209,0,95,4,12,1,3,0,0,0,4,0,432,0
Boulcott,"Boulcott School, 21 Boulcott Street",15,0,0,23,0,129,0,70,1,3,0,0,0,0,0,5,0,246,1
,"Knox Presbyterian Church Hall, 574 High Street",12,2,0,10,0,78,0,38,0,4,0,3,0,1,0,5,0,153,2
Days Bay,"Wellesley College, 611A Marine Drive",16,0,0,32,0,94,0,22,0,2,0,2,0,0,0,1,0,169,0
Eastbourne,"Eastbourne Library, 38 Rimu Street",144,10,2,268,0,830,3,375,8,34,6,6,1,1,0,19,1,1708,5
Epuni,"Epuni School Hall, 313 Waiwhetu Road",16,0,1,23,0,189,1,70,6,5,1,1,0,0,0,7,0,320,0
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",131,9,2,230,0,1125,4,625,20,46,0,14,2,1,0,39,0,2248,10
Johnsonville,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",3,0,0,2,0,26,0,6,0,1,0,0,0,0,0,0,0,38,0
,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",2,1,0,4,0,14,1,15,0,0,0,0,0,0,2,0,0,39,0
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",2,1,0,33,0,63,0,16,0,0,0,0,0,0,0,13,0,128,0
Kelson,"Kelson School, 52 Taieri Crescent",35,3,0,40,0,278,3,103,8,12,1,0,0,1,0,7,0,491,3
Korokoro,"Korokoro School Hall, 79 Korokoro Road",17,3,0,42,0,113,0,42,0,2,0,0,0,1,0,7,0,227,0
Lower Hutt,"Eastern Hutt School, 83 Kings Crescent",26,0,0,34,0,173,0,118,1,6,0,1,0,0,1,1,0,361,1
,"Hutt Intermediate School, 7 Kauri Street",20,0,0,14,0,95,1,87,4,6,0,2,0,0,0,4,0,233,1
