Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Amberley,"Amberley School Rewi Alley Hall, 2 Lawcocks Road (corner Douglas Road & Lawcocks Road)",24,1,0,10,0,92,0,55,5,2,0,0,1,0,0,4,0,194,0
,"Hurunui Library - RSA Room, 111 Carters Road",171,11,5,111,0,777,6,589,43,39,4,0,2,1,0,14,1,1774,14
Ashley,"Ashley School, Corner Boundary Road & Fawcetts Road",27,0,1,15,0,69,0,55,3,2,0,0,0,0,0,0,0,172,1
Blenheim,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",18,0,0,4,0,87,0,29,1,4,1,0,0,0,0,0,0,144,1
,"Market Street North Shop (next to Farmers), 19 Market Street",452,26,14,233,0,2114,4,1151,56,146,9,25,3,3,0,39,2,4277,21
,"Mayfield School Hall, 79 Hutcheson Street",14,1,0,3,0,100,0,26,3,2,0,0,0,0,1,3,0,153,0
,"Redwoodtown School Hall, 90 Cleghorn Street",55,5,1,21,0,358,1,141,11,14,2,5,1,0,0,4,0,619,6
,"Springlands School Hall, Aston Street (off Murphys Road)",74,2,0,29,0,294,1,194,10,9,1,1,0,0,0,4,0,619,3
,"Stadium 2000 Programmes Room, 26 Redwood Street Entrance",639,31,12,330,0,2882,7,1655,86,143,13,65,3,1,2,79,0,5948,28
,"Whitney Street School Hall, 9 Whitney Street",16,1,1,16,0,87,0,28,5,2,0,3,0,0,0,1,0,160,2
,"Witherlea School Hall, 216 Upper Weld Street",51,5,2,27,0,243,1,134,7,13,1,9,0,0,0,4,0,497,4
Cheviot,"Cheviot Area School Hall, Caverhill Road",6,0,0,5,0,17,0,12,1,1,0,0,0,0,0,0,0,42,0
,"Cheviot Knox Community Centre, 13 Reeves Street",54,0,1,16,0,146,2,140,0,8,0,0,0,0,0,1,0,368,4
