Party and Electorate Candidate Votes Recorded at each Voting Place
Mana 20,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Mana Mobile Team,9,1,0,3,0,54,1,23,0,2,0,0,0,0,0,2,0,95,0
,Mana Mobile Team - Te Wānanga,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,1,9,0
,Prisons Team - Taken in Remutaka,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
Aotea,"Aotea College Gym, Entrance from Whitford Brown Drive",28,0,0,18,0,163,0,94,8,5,0,0,0,0,0,8,1,325,3
,"Horouta Marae Kōhanga Reo, 5 Whitford Brown Avenue",2,0,1,14,0,41,0,17,1,1,0,1,0,0,0,3,0,81,2
Ascot Park,"Rangikura School Hall, 95 Conclusion Street",2,1,1,10,0,93,1,9,1,6,0,2,0,0,0,3,0,129,0
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,1,1,5,0,166,0,6,1,4,0,0,0,0,0,1,0,185,5
,"Hosanna Baptist Church, Corner Warspite Avenue & Driver Crescent",5,5,2,19,0,501,4,31,5,12,0,4,0,0,0,9,3,600,9
,"Russell School Hall, 18 Fantame Street",0,1,0,5,0,41,1,1,2,2,0,0,0,0,0,0,1,54,1
Elsdon,"Dogs NZ Wellington Exhibition Centre, 11 Prosser Street",5,2,0,12,0,58,0,25,2,4,0,2,0,0,0,1,0,111,1
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,12,0
Johnsonville,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",9,2,0,4,0,85,0,37,4,3,0,0,0,0,0,2,0,146,3
,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",4,0,1,2,0,77,0,21,1,0,0,0,0,0,0,4,0,110,0
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",2,0,0,44,0,46,1,10,0,1,0,1,0,0,0,4,0,109,0
Kilbirnie,"ASB Sports Centre, 72 Kemp Street",0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,7,0
,"Wellington Islamic Centre, 7-11 Queens Drive",0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,6,0
Linden,"Linden Social Centre, 10 Linden Avenue",21,0,1,30,0,174,2,55,3,11,0,1,0,0,0,6,1,305,1
Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",8,1,0,9,0,68,0,35,2,1,0,0,0,0,0,6,0,130,0
Mana,"St Barnabas' Church Hall, 106a Mana Esplanade",21,4,0,18,0,101,0,48,1,2,0,2,0,0,0,3,0,200,0
Mt Cook,"Massey University, Flax and Fern Room, Block 9, Wallace Street",1,0,0,8,0,19,0,2,0,1,0,0,0,0,0,1,0,32,0
Newtown,"Newtown Community Hall, 71 Daniell Street",0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0
,"Pop Up Voting Place, 199 Riddiford Street, next to New World",1,1,1,13,0,22,0,4,0,1,0,0,0,0,0,2,0,45,0
Paekākāriki,"Paekākāriki School Hall, 100 Wellington Road",8,3,0,89,0,127,0,13,2,3,0,0,0,0,0,3,0,248,0
Papakōwhai,"Papakōwhai School Hall, 17 Spey Place",24,1,0,23,0,116,1,57,0,2,0,1,0,0,1,3,0,229,0
Paraparaumu,"Coastlands Mall, Main Road (Countdown foyer)",178,41,5,398,0,1917,8,640,38,47,0,14,3,1,0,55,0,3345,21
