Party and Electorate Candidate Votes Recorded at each Voting Place
Manurewa 22,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",1,0,0,3,0,26,1,6,1,0,0,0,0,0,0,0,0,38,0
Botany Downs,"Botany Downs Secondary College, 575 Chapel Road",0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0
Burswood,"China Town, 262 Ti Rakau Drive",0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,21,1
Clendon Park,"St Elizabeth's Anglican Church Hall, 182 Finlayson Avenue",10,13,2,11,0,694,6,75,7,23,0,4,0,0,0,2,8,855,23
,"Te Matariki Clendon Community Centre & Library, 17 Palmers Road",6,13,7,39,0,1517,15,138,24,40,0,5,0,0,1,2,8,1815,27
,"Te Matauranga School Hall, 206 Finlayson Avenue",3,1,0,7,0,78,0,13,4,2,0,1,0,0,0,0,2,111,3
,"Tupu Youth Library, 102 Dawson Road",0,0,0,0,0,48,0,3,0,2,0,0,0,0,0,1,0,54,1
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,12,0
Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",2,3,0,2,0,46,0,12,3,3,0,1,0,0,1,2,0,75,1
,"Everglade School Hall, 64 Everglade Drive",0,1,0,1,0,12,0,9,1,0,0,0,0,0,0,1,0,25,1
,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,0,0,4,0,37,0,4,1,2,0,1,0,0,0,0,0,49,1
,"Southern Cross Campus, 253 Buckland Road West",0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0
Māngere East,"Metro Theatre, 362 Massey Road",1,3,0,1,0,34,0,5,0,1,0,0,0,0,0,0,0,45,0
Manukau,"Westfield Manukau Mall (Open Space), Corner Great South & Manukau Station Roads",10,4,4,7,0,307,4,57,6,4,0,0,0,0,0,1,4,408,5
,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",23,6,2,50,0,926,4,191,20,29,0,1,0,3,2,6,5,1268,12
