Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Auckland City,"Liston Hall, 30-32 Hobson Street",3,0,0,4,0,10,0,15,1,1,0,0,0,0,0,1,0,35,0
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",3,0,0,19,0,42,0,15,1,2,0,0,0,0,0,8,0,90,0
Avondale,"Avondale Baptist Church Lounge, 156 Blockhouse Bay Road entrance",6,0,0,10,0,28,0,18,0,2,0,0,0,0,0,1,0,65,0
Balmoral,"Mt Eden War Memorial Hall, 487-489 Dominion Road",44,1,0,100,0,254,1,141,0,9,0,1,0,0,2,14,0,567,2
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",12,0,1,14,0,105,0,61,6,5,0,0,0,0,4,2,0,210,3
,"Blockhouse Bay Community Church, 76 Dundale Avenue",49,12,1,58,0,770,6,367,27,30,0,4,3,0,6,2,0,1335,12
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",2,0,0,3,0,15,0,29,1,0,0,0,0,0,0,0,0,50,0
Epsom,"Epsom Normal School, 41 The Drive",1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,6,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",0,0,0,2,0,4,0,7,0,0,0,0,0,0,0,1,0,14,0
,"St Andrew's Church Upper Room, 100 St Andrews Road",12,0,0,15,0,79,2,57,0,1,0,0,0,0,0,5,0,171,0
Hillsborough,"Hillsborough Primary School, 18 Belfast Street",42,6,0,47,0,216,2,132,12,8,0,0,0,0,1,12,0,478,3
,"Waikowhai Primary School, 381 Hillsborough Road",17,0,0,15,0,126,0,84,3,6,0,0,0,0,2,4,0,257,2
Lynfield,"Halsey Drive Primary School, 106 Halsey Drive",17,0,0,23,0,99,0,88,6,3,0,0,0,0,2,1,0,239,1
,"Lynfield College School, 191 White Swan Road (main entrance)",13,0,0,8,0,190,0,67,2,3,0,0,0,0,2,2,0,287,4
,"Lynfield Tennis Club, 18 The Avenue",166,9,1,153,0,1208,6,787,30,64,2,7,2,3,4,15,0,2457,21
Mt Albert,"Mt Albert Senior Citizens' Hall, 3B Wairere Ave",1,0,0,5,0,22,0,12,0,1,0,0,0,1,0,0,0,42,0
,"Ramblers Softball Club, 7 Cornwallis Street",10,0,0,12,0,69,0,48,3,3,0,0,0,0,0,3,0,148,2
Mt Eden,"Auckland Provincial Guide Centre, 132 Grange Road",1,0,0,8,0,25,0,12,0,1,0,0,0,0,0,2,0,49,0
,"Food Stuffs Building (formerly Auckland Deaf Society), 164 Balmoral Road",58,1,1,139,0,343,2,171,6,8,1,0,0,0,1,19,0,750,0
,"Greyfriars Presbyterian Church - McKinney Hall, 544 Mt Eden Road",14,1,0,44,0,65,0,57,1,1,0,0,0,0,2,3,0,188,1
,"Mt Eden Normal Primary School, 73 Valley Road",3,0,0,2,0,12,0,14,2,0,0,0,0,0,0,1,0,34,0
