Party and Electorate Candidate Votes Recorded at each Voting Place
Ōhāriu 33,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Mana Mobile Team,5,0,0,1,0,9,0,7,0,1,0,0,0,0,0,1,0,24,0
Churton Park,"Churton Park School, 90 Churton Drive",43,1,0,41,0,228,0,118,2,9,0,2,0,0,0,10,0,454,4
Crofton Downs,"Crofton Downs Primary School, Chartwell Drive",10,0,1,42,0,86,0,40,1,3,0,0,0,0,0,4,0,187,0
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",2,0,0,2,0,7,0,3,0,0,0,0,0,0,0,0,0,14,0
Johnsonville,"Johnsonville School, 8 Morgan Street",10,1,0,20,0,73,0,23,0,1,0,0,0,0,0,7,0,135,0
,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",410,28,7,703,0,4204,28,1700,70,164,3,24,2,1,4,144,2,7494,41
,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",189,9,5,305,0,1648,10,797,28,63,0,14,0,0,0,73,3,3144,19
,"Onslow College, Burma Road",13,0,0,29,0,96,0,36,0,3,0,0,0,0,0,16,0,193,1
,"West Park School, 97 Broderick Road",10,0,0,16,0,55,0,22,0,3,0,0,0,0,1,7,0,114,2
Karori,"Karori Community Centre, Youth Centre Room, 7 Beauchamp Street",5,1,0,23,0,41,1,16,1,3,0,2,0,0,0,2,0,95,0
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",15,1,0,133,0,132,3,26,0,3,0,1,0,0,0,12,0,326,0
Khandallah,"Cashmere Avenue School, 110 Cashmere Avenue",25,0,0,57,0,145,1,99,4,5,0,1,0,0,0,8,0,345,1
,"Khandallah Bowling Club, 24 Woodmancote Road",170,3,0,277,0,852,1,518,5,29,0,6,0,1,0,32,0,1894,7
,"Khandallah Presbyterian Church, 33 Ganges Road",25,0,0,41,0,120,2,73,1,3,0,2,0,1,0,8,0,276,1
,"Khandallah School (Kauri Block), 20 Clark Street",15,0,0,39,0,90,0,45,0,4,0,0,0,0,0,10,0,203,0
Kilbirnie,"ASB Sports Centre, 72 Kemp Street",1,0,0,6,0,17,0,1,0,0,0,0,0,0,0,1,0,26,0
,"Kilbirnie/Lyall Bay Community Centre, 56-58 Bay Road",2,0,0,1,0,13,0,7,1,1,0,0,0,0,0,3,0,28,0
Linden,"Linden Social Centre, 10 Linden Avenue",1,0,0,1,0,8,0,5,0,0,0,0,0,0,0,0,0,15,0
Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",10,0,0,22,0,99,0,71,2,3,0,1,0,0,0,4,0,212,1
Mt Cook,"Massey University, Flax and Fern Room, Block 9, Wallace Street",4,0,0,28,0,36,0,9,0,1,0,0,0,0,0,3,0,81,0
Mt Victoria,"Clyde Quay School, 27 Elizabeth Street",0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
Newlands,"Bellevue School, 12 Bancroft Terrace",6,0,0,18,0,82,0,31,0,2,0,0,0,1,0,2,0,142,0
,"Newlands Community Centre, 9 Batchelor Street",98,7,7,219,0,1402,5,387,18,62,1,8,1,1,1,49,3,2269,22
,"Newlands School, 200 Newlands Road",9,0,0,22,0,73,0,13,2,1,0,1,0,0,0,0,0,121,0
,"Rewa Rewa School, 18 Padnell Crescent",6,0,0,21,0,49,1,15,1,2,0,0,0,0,0,4,0,99,0
Newtown,"Newtown School Hall, Corner Riddiford & Mein Streets",0,0,0,2,0,7,0,1,0,0,0,0,0,0,0,1,0,11,0
,"Pop Up Voting Place, 199 Riddiford Street, next to New World",5,0,1,19,0,31,0,17,0,0,0,0,0,0,0,3,0,76,0
