Party and Electorate Candidate Votes Recorded at each Voting Place
Palmerston North 36,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Rest Homes Team - Taken in Palmerston North,0,1,0,5,0,83,3,42,0,5,1,1,0,0,0,1,0,142,3
Ashhurst,"River Church, 131 Cambridge Avenue",9,1,0,9,0,31,0,19,3,0,0,1,0,0,0,1,0,74,3
Feilding,"Feilding Civic Centre, 84 Aorangi St",15,1,2,4,0,39,0,24,0,1,0,1,0,0,0,1,0,88,1
Highbury,"St Michael's Church Hall, 52 Pembroke Street",51,19,5,61,0,873,9,185,17,37,1,4,1,1,0,13,1,1278,16
Hokowhitu,"College Street Normal School Hall, 402 College Street",38,3,1,51,0,260,0,137,6,5,0,1,0,0,3,8,0,513,1
,"Hokowhitu School Hall, 227 Albert Street",44,0,0,42,0,268,0,135,6,15,0,0,0,0,1,9,0,520,3
,"Winchester School Hall, 552 Ruahine Street",15,2,0,48,0,214,1,99,9,6,1,0,0,0,0,5,0,400,7
Kelvin Grove,"Cornerstone Christian School, Administration Building, 119 Mihaere Drive",71,5,1,28,0,493,0,244,17,22,0,0,0,0,0,11,0,892,6
Linton,"Linton Camp School, Puttick Road",2,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0
,Manawatu Prison mobile team,1,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,0
Longburn,"Longburn Community Hall, Ngaire St",0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,6,0
Marton,"St Andrew's Presbyterian Church Hall, 226 Broadway",0,1,0,1,0,9,0,2,0,1,0,0,0,0,0,2,0,16,0
Milson,"Milson School Hall, 7 Rutland Place",39,2,1,19,0,329,0,115,7,23,0,2,0,0,0,10,1,548,4
,"St Peter's College, 3 Holdsworth Avenue",34,4,0,12,0,191,1,89,3,8,0,0,0,1,0,6,1,350,5
Newbury,"Newbury School, 906 Rangitikei Line",1,0,0,2,0,2,0,5,0,1,0,0,0,0,0,0,0,11,0
Palmerston North,"AMP Building, 36 Broadway Avenue",160,9,4,189,1,1325,13,539,39,56,1,5,0,2,1,47,4,2395,13
,"Awapuni School Hall, 18 Rochester Street",6,1,0,6,0,161,2,39,5,10,0,0,0,0,0,2,0,232,4
,"Central Normal School Hall, 201 Featherston Street",20,5,0,35,0,233,1,76,3,7,0,0,0,0,0,2,0,382,2
,"Cloverlea School Hall, 55 Herbert Avenue",25,3,2,14,0,241,1,63,4,8,0,2,0,0,0,9,1,373,1
,"Hearing Association Manawatu, 435 Church Street",130,18,6,139,0,906,3,403,22,51,0,8,0,2,0,38,1,1727,5
,"MUSA Student Centre Lounge, Massey University Concourse, University Drive",72,5,2,217,0,442,5,142,17,16,0,2,0,4,0,50,0,974,2
,"Palmerston North Bridge Club, 3 Cook Street",144,28,4,152,2,1024,2,480,29,58,0,5,1,0,1,40,2,1972,7
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",21,1,0,15,0,122,1,56,2,2,0,0,0,0,0,4,0,224,0
,"Russell Street School Hall, 19-31 Russell Street",26,1,1,36,0,202,1,90,3,12,0,0,0,0,0,4,0,376,0
