Party and Electorate Candidate Votes Recorded at each Voting Place
Panmure-Ōtāhuhu 37,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",1,1,0,4,0,35,0,14,0,0,0,0,0,0,0,0,0,55,0
Burswood,"China Town, 262 Ti Rakau Drive",1,0,0,2,0,29,0,19,0,0,0,0,0,0,3,0,0,54,0
Clover Park,"Tupu Youth Library, 102 Dawson Road",2,5,2,5,0,419,4,13,3,6,0,0,0,0,0,3,0,462,8
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",4,2,0,3,0,256,1,8,1,5,0,0,0,0,1,0,3,284,5
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,19,0
,"Kia Aroha College, 51 Othello Drive",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
Glen Innes,"Glen Innes Community Centre, 96 Line Road",6,2,2,35,0,559,2,57,5,14,3,0,0,0,1,2,1,689,24
Highland Park,"Masonic Centre, 3 Highland Park Drive",0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,1
,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,2,0,1,0,41,1,1,0,0,0,1,0,0,0,0,0,47,0
Māngere East,"Metro Theatre, 362 Massey Road",0,0,0,1,0,46,0,3,0,2,0,0,0,0,0,1,2,55,2
Manukau,"Westfield Manukau Mall (Open Space), Corner Great South & Manukau Station Roads",1,2,1,6,0,120,4,27,1,5,2,0,0,0,0,0,0,169,1
,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",3,1,0,20,0,331,3,57,2,10,2,1,0,0,0,1,0,431,1
Mt Wellington,"Mountainside Lutheran Church, 1 Harris Road",25,4,0,16,0,173,0,58,4,5,0,0,0,0,1,8,2,296,1
,"Panmure District School Hall, 87 Mt Wellington Highway",9,0,0,5,0,67,0,36,0,4,0,0,0,0,0,0,0,121,1
,"Salvation Army Community Centre, 18 Allright Place",30,2,1,16,0,199,1,82,4,2,0,1,0,0,0,6,0,344,2
,"Stanhope Road School Hall, 2B Harris Road",4,0,0,6,0,14,0,11,1,0,0,0,0,0,0,0,0,36,1
,"Sylvia Park School Hall, 3 Longford Street",0,2,0,7,0,35,0,22,0,0,0,0,0,0,0,1,0,67,1
Onehunga,"Onehunga Community Centre, 83 Church Street",1,0,0,2,0,16,0,3,0,1,0,0,0,0,0,1,0,24,0
Ōtāhuhu,"Otahuhu Community Hall, 10 High Street",4,3,0,6,0,182,0,26,2,1,1,1,0,0,0,2,0,228,3
,"Ōtāhuhu Community Library, 28 Mason Avenue",25,6,5,91,0,1387,5,148,32,49,4,1,0,0,1,13,3,1770,29
,"Otahuhu Primary School, 41 Station Road",4,1,0,8,0,51,0,10,0,2,0,0,0,0,0,0,0,76,3
,"Panama Road School, 139 Panama Road",17,2,0,20,0,296,0,40,1,4,0,0,0,0,3,2,0,385,9
,"St Joachim's Church Hall, 118 Church Street",39,14,2,74,0,1050,2,169,10,37,1,2,0,0,2,15,0,1417,23
Ōtara,"East Tāmaki Primary School, 196 Preston Road",0,0,0,4,0,73,0,6,2,0,0,1,0,0,0,1,0,87,5
,"St John the Evangelist, 18 Otara Road",7,2,0,11,0,465,2,19,5,8,1,1,0,0,0,4,4,529,10
,"Te Puke o Tara Community Hall, 20 Newbury Street",8,10,3,16,0,1103,9,37,18,39,2,1,0,0,1,2,3,1252,24
Pakuranga,"Pakuranga Community Centre, 346 Pakuranga Road",2,0,0,2,0,9,0,4,0,1,0,0,0,0,0,1,0,19,0
,"Pakuranga Plaza, next to ANZ Bank outside the Plaza, 10 Aylesbury Street",10,1,0,9,0,88,0,50,1,7,0,0,0,0,2,0,1,169,0
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",3,0,0,1,0,8,0,3,1,3,0,2,0,0,0,0,0,21,0
Panmure,"Panmure Community Centre, 7-13 Pilkington Road",80,11,3,142,0,1385,10,361,33,58,0,4,1,0,2,28,2,2120,28
Papatoetoe,"Holy Cross Church School Hall, 21 Carruth Road",11,3,0,24,0,364,5,105,6,22,0,0,0,1,1,1,0,543,5
,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",71,15,7,73,1,2105,10,480,28,61,4,1,0,0,4,8,8,2876,46
,"Papatoetoe Central Primary School, Corner Great South Road & Saint George Street",3,0,0,6,0,81,0,30,0,0,0,0,0,0,0,0,0,120,1
,"Papatoetoe East Primary School, 138 Tui Road",4,1,1,14,0,214,2,47,2,8,0,0,0,0,1,1,0,295,5
,"Papatoetoe Intermediate School, 175 Motatau Road",9,0,0,5,0,136,0,26,1,2,1,0,0,0,0,2,0,182,3
,"Papatoetoe Town Hall, 35 Saint George Street",16,4,3,34,0,470,3,103,11,34,1,0,0,0,0,2,4,685,6
,"Papatoetoe West School, 1-3 Hillcrest Road",0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,17,0
,"Puhinui Primary School Hall, 116 Puhinui Road",0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,7,0
Point England,"Point England Primary School, 130 Point England Road",12,1,1,14,0,130,0,30,1,5,0,0,0,0,0,5,0,199,5
St Johns,"Auckland Netball Centre, 7 Allison Ferguson Drive",3,1,0,13,0,37,0,24,1,1,0,2,0,0,0,2,0,84,0

Voting Places
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",0,0,0,4,0,51,0,2,0,3,0,0,0,0,0,0,0,60,2
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,1,0,2,0,41,0,0,0,3,0,0,0,0,0,0,0,47,1
Glen Innes,"Glen Innes Community Centre, 96 Line Road",1,0,0,1,0,82,1,3,0,0,0,0,0,0,1,1,1,91,1
,"Tāmaki College, 109-115 Taniwha Street",0,1,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,17,0
,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,0,0,1,0,13,0,0,0,2,0,0,0,0,0,0,0,16,0
Māngere East,"Metro Theatre, 362 Massey Road",0,0,0,0,0,17,1,1,0,1,0,0,0,0,0,0,0,20,1
Mt Wellington,"Panmure District School Hall, 87 Mt Wellington Highway",15,1,1,12,0,59,0,49,1,1,0,0,0,0,0,5,0,144,2
,"Stanhope Road School Hall, 2B Harris Road",10,3,0,6,0,42,0,17,2,0,0,0,0,0,0,2,0,82,0
,"Sylvia Park School Hall, 3 Longford Street",9,0,0,8,0,55,0,29,3,1,0,0,0,1,0,3,0,109,0
Ōtāhuhu,"Fairburn School, 10 Pukeora Road",4,2,0,13,1,136,3,29,1,8,0,0,0,0,0,4,0,201,0
,"Otahuhu College, 74-78 Mangere Road",5,3,2,8,0,120,2,16,2,10,0,0,0,1,0,1,0,170,4
,"Otahuhu Community Hall, 10 High Street",7,9,2,16,0,331,2,53,6,14,0,0,0,0,1,3,1,445,6
,"Otahuhu Intermediate School, 22-24 Luke Street",11,7,0,11,0,174,3,33,6,5,0,2,0,0,0,1,0,253,5
,"Otahuhu Primary School, 41 Station Road",4,4,1,9,0,125,1,28,1,3,0,1,1,0,0,0,0,178,5
,"Panama Road School, 139 Panama Road",21,4,0,10,0,274,5,45,6,23,2,3,0,0,1,9,3,406,15
Ōtara,"Bairds Mainfreight Primary School, 12 Edward Avenue",0,2,1,4,0,169,2,9,4,11,0,0,0,0,0,0,1,203,3
,"East Tāmaki Primary School, 196 Preston Road",1,1,2,2,0,93,0,1,2,12,0,0,0,0,0,0,1,115,3
,"Ferguson Intermediate School, 20-40 Ferguson Road",1,4,0,9,0,263,4,6,3,14,0,0,0,0,0,1,2,307,5
,"Flat Bush School, 20 Flat Bush Road",1,0,2,3,0,104,3,6,1,3,0,0,0,0,0,0,0,123,1
,"Mayfield School, 12 Pearl Baker Drive",0,2,3,9,0,215,4,11,5,9,0,1,0,0,0,0,0,259,3
,"Sir Edmund Hillary Collegiate, 2 Franklyne Road",3,0,2,2,0,143,1,1,10,1,0,1,0,0,0,0,1,165,2
,"Te Puke o Tara Community Hall, 20 Newbury Street",0,3,0,3,0,117,1,6,4,6,0,0,0,0,0,0,3,143,0
,"Wymondley Road School, 77 Wymondley Road",0,1,2,3,0,105,2,7,0,7,0,0,0,0,0,0,0,127,1
Pakuranga,"Pakuranga Plaza, next to ANZ Bank outside the Plaza, 10 Aylesbury Street",0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,18,0
Panmure,"Panmure Bridge Primary School, 76 Kings Road",16,0,1,11,0,106,2,52,1,5,0,0,0,0,0,6,0,200,0
,"Panmure Community Centre, 7-13 Pilkington Road",18,2,0,30,0,280,5,56,6,6,0,0,0,3,1,2,3,412,1
,"Ruapotaka Primary School, 10A Taratoa Street",1,1,1,10,0,54,0,7,1,5,0,0,0,0,1,0,0,81,1
,"Tamaki Primary School, 11A Alamein Road",3,0,0,5,0,85,2,19,0,9,0,1,0,0,0,2,0,126,2
,"Holy Cross Church School Hall, 21 Carruth Road",5,0,0,2,0,101,2,17,1,2,0,0,0,0,0,0,0,130,0
,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",7,4,0,4,0,240,1,75,9,7,0,0,0,0,0,2,3,352,1
,"Omana Kindergarten, 42 Omana Road",10,0,1,7,0,145,1,52,6,7,1,1,0,0,0,5,1,237,1
,"Papatoetoe Central Primary School, Corner Great South Road & Saint George Street",9,0,0,7,0,80,0,23,5,3,1,0,0,0,0,1,1,130,2
,"Papatoetoe East Primary School, 138 Tui Road",11,1,3,10,0,168,2,66,4,8,0,0,0,0,1,2,1,277,2
,"Papatoetoe High School, 19 Nicholson Avenue",3,0,2,4,0,91,0,20,4,7,0,0,0,0,0,0,1,132,2
,"Papatoetoe Intermediate School, 175 Motatau Road",4,1,1,8,0,138,2,38,2,8,0,0,0,0,0,3,0,205,3
,"Papatoetoe Town Hall, 35 Saint George Street",0,2,0,3,0,53,0,24,0,1,0,0,0,0,0,0,1,84,3
,"Papatoetoe West School, 1-3 Hillcrest Road",2,0,0,1,0,20,0,2,0,0,0,0,0,0,0,0,0,25,0
,"Puhinui Primary School Hall, 116 Puhinui Road",0,0,0,1,0,13,1,3,2,1,0,0,0,0,0,0,0,21,0
