Party and Electorate Candidate Votes Recorded at each Voting Place
Port Waikato 39,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Bombay,"Bombay School, 35 Paparata Road",5,0,0,2,0,10,0,12,2,0,0,0,0,0,0,0,0,31,0
Drury,"Drury School Hall, Young Crescent",2,0,1,1,0,10,0,20,0,0,0,0,0,0,0,0,0,34,0
Huntly,"Huntly Central (next to Colourplus), 102A Main Street",1,1,0,2,1,5,0,10,3,0,0,0,0,0,0,0,0,23,1
,"Huntly Civic Centre, Riverside Room, 148 Main Street",6,0,0,2,0,13,0,13,1,0,1,1,0,0,0,0,0,37,0
Papakura,"Accent Point Building, Level 3, Library Foyer, 28 East Street",14,0,0,11,0,28,1,39,1,3,0,0,0,0,0,2,0,99,0
,"Harvest Christian Church, 3 Beach Road",4,0,0,1,0,7,0,11,0,1,0,0,0,0,0,0,0,24,0
,"NZ Bloodstock Centre, 10 Hinau Road",19,0,1,3,4,31,0,43,0,5,0,0,0,0,0,1,0,107,0
Pōkeno,"Pokeno Community Hall, 19 Market St",200,15,3,45,24,756,5,588,22,43,2,6,0,0,0,12,1,1722,7
Pukekohe,"Auckland Council Mayoral Chambers, 82 Manukau Rd",293,26,4,76,38,1133,8,952,39,65,2,6,1,0,0,10,0,2653,14
,"Harrington Hall, 2 Harrington Ave",265,17,9,114,39,1131,10,899,68,72,0,6,0,0,0,34,1,2665,22
,"Old Post Office Building, 7 Hall St",203,9,4,51,34,763,1,824,24,40,0,6,1,2,0,16,0,1978,13
,"PIA Event Centre, 55 Ward St",363,9,5,89,71,1194,3,1291,39,80,0,9,0,2,4,23,1,3183,30
,"Pukekohe Intermediate School, 44 Queen Street",16,5,2,13,5,143,1,109,3,6,0,0,0,0,0,1,0,304,4
,"Pukekohe North School, Corner Princes Street & Beatty Road",6,0,1,3,1,62,1,10,6,6,0,1,0,0,0,2,0,99,1
,"Valley School, 42 East Street",32,1,0,9,3,127,0,97,3,6,0,1,0,0,0,5,0,284,2
,"St Johns Ambulance Meeting Room, 4 Baird Avenue",103,3,2,28,17,373,1,434,37,31,0,7,0,0,0,3,1,1040,10
Te Rapa,"Te Awa, The Base (beside children's playground in main car park area), Maahanga Drive",3,0,0,1,1,20,0,19,0,0,0,0,0,0,0,0,0,44,0
Tuakau,"Tuakau Town Hall, 70 George Street",257,16,6,79,33,1054,2,730,28,70,2,10,1,1,1,23,0,2313,14
Waiuku,"Sandspit Road School, 60 Sandspit Road",12,6,2,8,3,75,0,65,2,8,0,1,0,0,0,6,0,188,6
,"Waiuku Memorial Hall, Corner Queen Street & Victoria Street",381,38,4,145,45,1654,10,1116,62,114,8,13,0,0,0,35,2,3627,11
,"Waiuku Netball Centre, Kitchener Road",123,10,2,46,12,425,1,407,13,34,1,4,0,5,2,10,0,1095,3
,"Waiuku Primary School, George Street",16,0,0,7,2,84,0,60,0,4,0,0,0,0,0,2,0,175,0

Voting Places
Aka Aka,"Aka Aka School, 809 Aka Aka-Otaua Road",10,3,0,2,2,22,0,46,2,4,0,0,0,0,0,0,0,91,3
Āwhitu,"Awhitu District School, Corner Matakawa & Awhitu Roads",32,7,1,17,6,132,0,120,4,18,0,0,0,1,0,0,0,338,1
