Party and Electorate Candidate Votes Recorded at each Voting Place
Botany 4,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Auckland City,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",4,0,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,21,0
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",0,0,0,6,0,16,0,18,1,0,0,0,0,0,0,0,0,41,0
Beachlands,"Pohutukawa Coast Shopping Centre, 129 Beachlands Road",1,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,15,0
Botany,"Botany Library, Level 1, Sunset Terrace",479,14,2,251,0,3376,7,3063,87,73,3,14,1,4,41,48,4,7467,48
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",143,11,6,56,1,952,2,937,37,31,0,4,0,3,5,5,2,2195,11
Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",36,4,0,16,0,261,0,196,5,6,0,0,1,0,2,2,0,529,0
,"Botany Downs Secondary College, 575 Chapel Road",47,1,0,19,0,259,0,292,11,9,0,0,0,0,1,3,0,642,9
Burswood,"China Town, 262 Ti Rakau Drive",82,2,1,22,0,469,0,521,13,17,0,0,0,1,11,8,1,1148,11
Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",7,1,0,3,0,159,0,50,5,0,0,0,0,0,0,0,0,225,2
Clover Park,"Tupu Youth Library, 102 Dawson Road",14,10,3,29,0,1226,8,120,17,35,0,1,0,0,1,2,4,1470,21
Dannemora,"Point View Primary School, 25 Kilkenny Drive",48,0,0,13,0,159,0,199,7,2,0,0,0,0,0,2,0,430,1
,"Willowbank School, 56 Middlefield Drive",32,1,1,25,1,307,0,256,5,7,0,3,0,1,2,3,0,644,4
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",2,0,0,10,0,169,1,34,6,7,0,0,0,0,0,1,0,230,2
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,0,0,0,79,0,8,0,3,0,0,0,0,0,0,0,90,0
,"Kia Aroha College, 51 Othello Drive",1,0,2,3,0,58,1,12,0,0,0,0,0,0,0,0,0,77,0
,"Mission Heights Primary School Hall, 103 Jeffs Road",5,0,1,6,0,57,0,57,1,0,0,1,0,0,1,1,0,130,1
,"Ormiston Senior College, Main Entrance Foyer, 275 Ormiston Road",13,3,0,7,0,178,0,127,2,3,0,2,0,0,4,1,0,340,3
Highland Park,"Masonic Centre, 3 Highland Park Drive",118,7,4,41,0,543,1,372,11,13,0,3,0,1,2,4,0,1120,5
Howick,"Cockle Bay School, 24 Sandspit Road",41,0,0,13,0,165,0,153,2,1,0,0,0,1,0,0,1,377,1
,"Howick Library Fencible Room, 25 Uxbridge Road",197,10,0,90,1,723,0,782,28,37,2,4,1,3,0,11,0,1889,6
,"Owairoa Primary School, Corner Wellington & Nelson Streets",3,0,0,4,0,24,0,19,0,0,0,0,0,0,0,1,0,51,0
Manukau,"Westfield Manukau Mall (Open Space), Corner Great South & Manukau Station Roads",9,1,0,1,0,91,0,36,1,2,0,0,0,0,0,0,0,141,1
,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",1,2,0,4,0,163,0,39,2,3,0,0,0,0,0,2,2,218,1
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",236,2,3,53,0,808,2,1060,37,42,2,3,0,1,3,16,1,2269,19
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",3,2,0,8,0,33,0,34,1,0,0,0,0,0,2,1,0,84,1
Northpark,"Our Lady Star of the Sea School, 14 Oakridge Way",39,2,0,4,0,163,0,175,8,2,0,2,0,1,1,2,0,399,4
Ōtara,"East Tāmaki Primary School, 196 Preston Road",0,1,0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,26,0
,"Te Puke o Tara Community Hall, 20 Newbury Street",1,1,1,2,0,63,2,3,1,0,0,0,0,0,0,0,0,74,0
,"Pakuranga College, 176-180 Pigeon Mountain Road",3,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,12,0
,"Pakuranga Community Centre, 346 Pakuranga Road",12,0,1,8,0,46,0,42,5,0,0,0,0,0,0,3,0,117,1
,"Pakuranga Intermediate School, 43-49 Reeves Road",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0
,"Pakuranga Plaza, next to ANZ Bank outside the Plaza, 10 Aylesbury Street",24,0,0,12,0,119,1,64,6,2,0,0,0,1,2,3,1,235,2
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",4,1,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,41,1
,"Riverhills Primary School, 13 Waikaremoana Place",1,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,9,0
Somerville,"Somerville Intermediate School, 39 Somerville Road",34,2,0,9,0,134,1,171,4,2,0,2,0,0,1,1,0,361,0
Whitford,"Whitford Hall, 1 Whitford-Maraetai Road",4,0,0,0,0,22,0,16,0,0,1,0,0,0,0,0,0,43,0

Voting Places
Beachlands,"Pohutukawa Coast Shopping Centre, 129 Beachlands Road",1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,8,0
Botany,"Elim Christian College, Golflands Campus, 94 Golfland Drive",26,4,0,10,0,146,1,175,8,6,0,3,0,0,0,3,0,382,2
Botany Downs,"Botany Downs Primary School, 35 Mirrabooka Avenue",38,0,0,17,0,129,0,127,5,7,1,0,0,0,1,1,0,326,1
,"Botany Downs Secondary College, 575 Chapel Road",68,3,1,30,0,382,0,417,12,15,1,3,0,0,7,10,0,949,5
,"Elim Christian Centre, 159 Botany Road",26,1,0,13,0,148,2,195,11,11,0,5,0,0,0,3,1,416,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",19,0,1,1,0,51,1,57,6,3,0,0,0,0,1,0,0,140,1
Botany South,"Sancta Maria College, 319 Te Irirangi Drive",17,1,1,5,0,149,0,89,10,2,0,0,0,0,0,4,1,279,0
Bucklands Beach,"Bucklands Beach Intermediate School, 247 Bucklands Beach Road",2,0,0,1,0,6,0,4,0,0,0,0,0,0,0,0,0,13,0
Burswood,"East City Wesleyan Church, 219 Burswood Drive",11,1,0,9,0,77,0,82,4,9,1,1,0,0,0,2,0,197,1
Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",4,3,1,3,0,195,0,65,3,7,0,0,0,0,0,0,0,281,0
Cockle Bay,"Cockle Bay Playcentre, 17 Pah Road",24,0,0,11,0,87,0,101,8,6,0,2,0,0,0,2,0,241,1
Dannemora,"Point View Primary School, 25 Kilkenny Drive",48,2,0,17,0,172,0,267,4,20,0,0,0,0,4,6,2,542,2
,"Willowbank School, 56 Middlefield Drive",41,1,2,4,0,238,1,264,11,12,0,0,0,1,1,6,0,582,2
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",1,0,0,3,0,28,0,2,1,1,0,0,0,0,0,0,0,36,0
Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",27,1,0,25,0,287,0,219,4,5,0,1,0,0,1,0,2,572,8
,"Dawson Primary School, 15 Haumia Way",0,2,2,4,0,202,1,12,5,10,0,2,0,0,0,0,0,240,4
,"Kia Aroha College, 51 Othello Drive",4,1,1,2,0,73,2,8,4,8,0,1,0,0,0,1,0,105,2
,"Mission Heights Primary School Hall, 103 Jeffs Road",6,0,0,1,0,43,0,42,3,0,0,0,0,0,0,1,0,96,2
,"Ormiston Senior College, Main Entrance Foyer, 275 Ormiston Road",9,1,0,6,0,110,0,68,6,3,0,0,0,0,5,2,0,210,6
Highland Park,"Masonic Centre, 3 Highland Park Drive",24,1,1,4,0,89,3,83,3,4,0,0,0,0,1,7,0,220,1
Howick,"Cockle Bay School, 24 Sandspit Road",56,2,0,15,1,157,2,221,5,10,0,1,0,0,0,6,0,476,0
,"Howick Intermediate School, 1 Botany Road",10,1,0,2,0,45,0,29,1,1,0,0,0,0,0,1,0,90,0
,"Howick Library Fencible Room, 25 Uxbridge Road",21,0,0,6,0,40,2,63,0,4,0,0,0,0,8,2,0,146,0
,"Owairoa Primary School, Corner Wellington & Nelson Streets",6,0,0,8,0,22,0,24,1,0,0,0,0,0,0,2,0,63,0
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",30,0,1,15,0,144,1,213,4,10,1,2,0,0,0,4,0,425,1
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",1,0,0,3,0,10,0,4,0,0,0,0,0,0,0,0,0,18,0
Northpark,"Our Lady Star of the Sea School, 14 Oakridge Way",42,0,0,5,0,95,0,140,1,5,0,2,0,0,0,1,0,291,0
Ōtara,"East Tāmaki Primary School, 196 Preston Road",0,0,0,2,0,44,0,1,1,0,0,1,0,0,0,0,0,49,1
,"Ferguson Intermediate School, 20-40 Ferguson Road",0,1,1,1,0,14,0,0,1,1,0,0,0,0,0,0,0,19,0
,"Flat Bush School, 20 Flat Bush Road",0,0,0,1,0,34,0,2,3,2,0,0,0,0,0,0,1,43,0
,"Mayfield School, 12 Pearl Baker Drive",0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,9,0
,"Te Puke o Tara Community Hall, 20 Newbury Street",0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,10,0
,"Pakuranga College, 176-180 Pigeon Mountain Road",1,0,0,1,0,7,0,8,0,0,0,0,0,0,0,2,0,19,0
,"Pakuranga Community Centre, 346 Pakuranga Road",4,0,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0,16,0
,"Pakuranga Intermediate School, 43-49 Reeves Road",0,0,0,1,0,8,0,12,0,0,0,0,0,0,0,0,0,21,0
,"Pakuranga Plaza, next to ANZ Bank outside the Plaza, 10 Aylesbury Street",1,0,0,2,0,18,1,9,0,0,0,0,0,0,0,0,0,31,0
