Party and Electorate Candidate Votes Recorded at each Voting Place
Rongotai 43,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Aro Valley,"Aro Valley Community Centre, 48 Aro Street",3,1,1,31,0,17,0,5,0,1,0,0,0,0,0,4,0,63,0
Berhampore,"Berhampore Centennial Community Centre, 493 Adelaide Road",7,2,0,114,0,176,1,18,2,3,0,0,0,0,0,10,0,333,1
,"Berhampore School, Room One, 105 Britomart Street",3,0,0,98,0,132,0,17,0,1,0,1,0,0,0,6,0,258,2
,"South Wellington Intermediate School Hall, 165 Rintoul Street",3,0,0,47,0,67,0,10,0,4,0,0,0,0,0,1,0,132,1
Brooklyn,"St Matthew's Church Hall, 96 Washington Avenue",14,3,0,153,0,280,2,57,2,6,0,0,0,0,0,11,0,528,2
Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",11,1,3,7,0,63,0,22,1,6,1,0,0,0,1,1,0,117,0
Hataitai,"Hataitai Community House, 112 Waipapa Road",60,7,1,320,0,565,4,168,7,10,0,0,0,1,0,48,0,1191,0
,"Hataitai School Hall, 2 Arawa Road",15,1,1,69,0,122,1,45,0,2,0,0,0,0,0,12,0,268,1
,"Kilbirnie School Hall, 72 Hamilton Road",12,2,0,56,0,108,1,35,0,4,0,0,0,0,0,5,0,223,1
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,10,0
Island Bay,"Island Bay Presbyterian Church Lounges, 88 The Parade",86,10,3,599,0,1515,7,379,15,65,1,5,1,3,0,40,2,2731,5
,"Island Bay School Hall, 6 Thames Street",11,1,1,66,0,129,0,25,0,5,0,0,0,0,0,5,0,243,1
,"St Hilda's Church Parish Centre, 311 The Parade",5,1,0,53,0,165,2,32,2,10,0,3,0,0,0,9,0,282,1
Johnsonville,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",3,0,0,10,0,31,0,5,0,0,0,0,1,0,0,1,0,51,1
,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",2,0,0,6,0,29,0,11,0,1,0,0,0,0,1,1,0,51,0
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",12,0,0,222,0,137,2,22,3,2,0,0,0,0,0,14,0,414,2
Kilbirnie,"ASB Sports Centre, 72 Kemp Street",20,1,0,143,0,398,2,107,3,6,0,0,0,0,0,26,0,706,6
,"Evans Bay Intermediate School Hall, 14 Kemp Street",2,0,0,15,0,24,0,8,1,1,0,0,0,0,0,1,0,52,0
,"Kilbirnie/Lyall Bay Community Centre, 56-58 Bay Road",118,16,1,546,0,2040,8,483,23,92,3,6,2,0,1,64,0,3403,22
,"St Patrick's College Staff Room, 581 Evans Bay Parade",2,0,0,19,0,47,1,6,1,0,0,0,0,0,0,3,0,79,0
,"Wellington Islamic Centre, 7-11 Queens Drive",14,1,1,142,0,244,1,30,3,5,1,0,0,0,0,21,0,463,1
Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",3,0,0,23,0,76,1,25,0,0,0,1,0,0,0,3,0,132,4
Lyall Bay,"Lyall Bay School Hall, 2 Freyberg Street",17,0,0,79,0,212,1,25,0,3,0,0,0,0,0,8,0,345,2
Miramar,"Miramar and Maupuia Community Centre, 27 Chelsea Street",175,7,4,499,0,2191,11,740,19,81,0,3,1,4,0,70,1,3806,19
,"Miramar Central School Hall, 38 Park Road",16,2,0,75,0,292,0,82,7,4,1,0,0,0,0,15,0,494,5
