Party and Electorate Candidate Votes Recorded at each Voting Place
Rotorua 44,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",16,11,4,9,0,183,8,48,3,12,0,2,0,0,0,4,5,305,6
Glenholme,"St John's Presbyterian Church (next to Rydges Hotel), 276 Fenton Street",8,0,0,5,0,54,0,55,1,3,0,0,0,0,0,1,0,127,1
Greerton,"Western Bay District Council, 1484 Cameron Rd",8,0,1,3,0,43,0,27,2,3,0,0,0,1,0,1,0,89,0
Hairini,"Baden Powell Centre, Ila Park, 46 Harrisfield Drive",10,1,0,3,0,21,0,26,2,5,0,0,0,1,0,0,0,69,0
Lynmore,"Lynmore Primary School Hall, 1 Iles Road",20,0,1,11,0,78,0,50,0,2,0,1,1,0,0,5,0,169,0
,"Shop 7 (beside Bin Inn), Redwood Shopping Centre",396,33,3,248,1,1746,18,1159,46,127,4,14,1,3,1,91,5,3896,21
Mangakakahi,"Sunset Primary School Hall, 150 Sunset Road",10,1,0,4,0,98,1,40,7,11,0,1,0,0,0,2,1,176,0
Mount Maunganui,"Arataki Community Centre, Zambuk Way (off Grenada Street)",5,0,0,1,0,12,0,6,0,1,0,0,0,0,0,2,0,27,0
,"Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads",15,3,2,6,0,90,1,67,4,9,0,0,0,0,0,2,0,199,0
,"HomeZone Shopping Centre - former Fruit and Vegetable shop, Unit 2B 2-10 Owens Place",9,0,0,2,0,17,0,20,0,0,0,0,0,0,0,1,0,49,0
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",316,30,3,96,0,1280,27,786,43,108,4,4,3,2,0,37,4,2743,18
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",16,0,0,4,0,76,0,45,12,6,0,1,0,0,0,3,0,163,0
Papamoa Beach,"Evans Road Community Church, 30 Evans Road",1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,0
,"Papamoa Community Centre, 15 Gravatt Road",15,3,1,11,0,64,1,45,3,2,0,1,0,0,0,0,1,147,0
,"Papamoa Plaza, Shop 66 (Near Foodcourt), 7 Gravatt Road",27,2,2,6,0,121,4,82,2,8,0,3,1,0,0,2,0,260,2
,"Papamoa Sport and Recreation Centre, 80 Alice Way",4,2,0,5,0,23,0,19,0,0,0,0,0,0,0,0,0,53,1
Poike,"Toi Ohomai Institute of Technology Library, Gate 1, 70 Windemere Drive",2,1,0,7,0,24,0,16,1,0,0,0,0,0,0,0,0,51,0
Pomare,"Westbrook Primary School Hall, 362 Malfroy Road",22,0,1,9,0,123,2,78,2,3,0,1,0,0,0,0,0,241,1
Pyes Pa,"Aquinas College, 183 Pyes Pa Road",0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,9,0
,"Pyes Pā School, 978 Pyes Pa Road",17,3,0,0,0,22,0,24,2,2,0,0,0,0,0,0,0,70,0
Reporoa,"Reporoa Settlers Hall, 3834 Broadlands Road",26,0,0,4,0,48,2,69,8,8,0,4,0,1,0,0,0,170,0
Rotorua,"Rotorua Central Mall, Shop 3, 1170 Amohau Street",411,76,19,284,0,3411,57,1625,122,195,4,22,0,1,2,79,37,6345,41
,"Shop near Te Manawa, 1271 Tutanekai Street",196,34,2,165,1,1298,39,701,32,76,3,13,1,2,0,38,15,2616,17
Selwyn Heights,"Selwyn Heights Primary School Hall, 17 Old Quarry Road",14,2,2,12,0,111,4,25,3,7,1,1,0,0,0,6,1,189,0
Springfield,"Otonga Primary School Hall, 105 Otonga Road",29,1,1,26,0,161,0,118,6,5,0,0,0,0,0,4,0,351,0
Taupō,"28 Heuheu St (next to Footloose), Town Centre",5,1,0,1,0,9,0,9,0,0,0,0,0,0,0,0,0,25,0
,"Corner Tongariro and Horomatangi St (formerly Champions of the World), Town Centre",2,0,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,31,0
Tauriko,"Tauranga Crossing (ground floor next to H&M), Tauranga Crossing Shopping Centre",11,2,0,10,0,37,0,47,5,1,0,0,0,0,0,3,0,116,0
Te Puke,"Te Puke War Memorial Hall, 130 Jellicoe Street",289,41,6,91,0,1365,9,1127,39,105,1,28,1,0,0,25,5,3132,26
Tihiotonga,"Toi Ohomai Institute of Technology, Mokoia Drive",19,2,1,27,0,124,2,63,3,10,0,0,0,1,0,8,1,261,1
Welcome Bay,"Welcome Bay Community Hall, 240 Welcome Bay Road",16,8,0,8,0,43,0,22,5,3,0,0,0,0,0,4,1,110,1

Voting Places
Broadlands,"Broadlands School Hall, 2986 Broadlands Road",24,0,1,1,0,24,0,42,0,2,1,0,0,0,0,0,0,95,1
Fenton Park,"Fenton Park Bible Church, Corner Hilda Street & Ward Avenue",11,6,0,6,0,62,2,31,13,7,0,0,0,0,0,1,1,140,0
Fordlands,"Fordlands Community Centre, 48 Bellingham Crescent",0,4,0,2,0,44,3,8,2,5,0,0,0,0,1,1,0,70,1
Glenholme,"Glenholme School Hall, 149 Ranolf Street",33,4,0,22,0,148,3,113,9,19,0,2,0,0,0,7,0,360,3
,"St John's Presbyterian Church (next to Rydges Hotel), 276 Fenton Street",4,2,0,2,0,35,0,23,0,3,0,0,0,0,0,3,0,72,0
Hairini,"Baden Powell Centre, Ila Park, 46 Harrisfield Drive",2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,8,0
Hamurana,"Hamurana Playcentre, 38 Tauranga Direct Road",27,5,0,6,0,42,2,49,1,9,0,0,0,0,0,5,0,146,1
Hillcrest,"Blue Pukeko Community Centre, Corner Old Taupō Road & Hillcrest Avenue",22,2,1,5,0,65,4,46,4,10,0,2,1,0,0,2,2,166,2
Horohoro,"Horohoro School, 69 Apirana Road",17,0,0,0,0,27,0,21,0,5,0,0,0,0,0,0,0,70,0
Kaharoa,"Kaharoa School, 296 Kaharoa Road",8,3,0,2,0,35,0,39,4,6,1,0,0,0,0,2,0,100,1
Kaingaroa Forest,"Administration Building, Dunn Road",2,0,0,2,0,18,0,2,1,1,0,1,0,0,0,0,0,27,0
Kawaha Point,"Kawaha Point Primary School, 72-100 Aquarius Drive",31,4,0,14,0,166,4,102,9,26,1,0,0,0,0,4,2,363,0
Koutu,"Tumahaurangi Marae, 38 Koutu Road",5,3,0,4,0,65,6,17,1,5,1,1,0,0,0,0,0,108,1
Lake Okareka,"Lake Okareka Community Hall, 75 Loop Road",10,0,0,6,0,52,0,33,0,3,0,0,0,0,0,0,0,104,0
Lake Rotoma,"Rotoma and Rotoehu Community Hall, 167 State Highway 30",12,3,0,2,0,32,0,15,0,5,0,0,0,0,0,1,0,70,0
Lake Tarawera,"Lake Tarawera Community Hall, 475 Spencer Road",11,1,1,2,0,11,0,15,1,1,0,0,0,0,0,1,0,44,2
Lynmore,"Lynmore Primary School Hall, 1 Iles Road",29,2,0,17,0,167,3,135,3,17,0,2,0,0,0,12,1,388,1
,"Lynmore Scout Hall, 53B Lewis Road",19,0,0,12,0,58,0,59,5,6,0,0,0,0,0,6,0,165,0
,"Shop 7 (beside Bin Inn), Redwood Shopping Centre",53,7,0,19,0,137,5,108,5,15,0,0,1,0,1,7,3,361,3
Mamaku,"Mamaku School Hall, 54 Tarena Street",22,4,2,4,0,74,1,68,9,8,0,2,0,0,0,1,0,195,2
Mangakakahi,"Sunset Primary School Hall, 150 Sunset Road",32,5,1,11,0,144,2,78,5,20,0,2,0,0,0,4,1,305,3
,"Te Wānanga o Aotearoa, Waiwhero Campus, 2-20 Depot Street",9,3,1,8,0,40,2,19,2,4,0,1,0,0,0,5,0,94,0
,"Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads",2,1,1,1,0,8,0,9,0,2,0,0,0,0,0,0,0,24,0
Ngakuru,"Ngakuru School Hall, 913 Whirinaki Valley Road",29,5,1,6,0,48,1,93,4,10,1,0,0,0,1,2,0,201,2
Ngapuna,"Hinemihi Marae, 23 Hona Road",1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,13,0
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",68,8,2,31,0,225,4,203,24,36,1,4,0,0,0,17,0,623,2
,"Waiteti Marae, 28 Waiteti Road",6,0,0,1,0,11,4,3,0,3,0,0,0,0,0,0,0,28,0
Ohauiti,"Ohauiti Settlers Hall, 459 Ohauiti Road",11,3,1,3,0,44,0,74,11,7,0,0,0,0,0,3,0,157,2
Ohinemutu,"Tunohopu Marae, Tunohopu Street",1,2,0,1,0,14,2,3,0,2,0,0,0,0,0,2,0,27,0
Okere Falls,"Whangamarino School, 637 State Highway 33",10,3,0,5,0,33,1,30,2,3,1,0,0,0,0,4,0,92,0
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",4,1,0,3,0,5,0,20,3,2,0,0,1,0,0,4,0,43,0
