Party and Electorate Candidate Votes Recorded at each Voting Place
Selwyn 45,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Arthurs Pass,"Arthurs Pass Community Centre, 76 School Terrace",1,0,0,5,0,12,0,1,2,0,0,0,0,0,0,0,0,21,0
Ashburton,"Ashburton Baptist Church Foyer, Corner of Havelock & Cass Streets",0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,6,0
,"Ashburton Trust Event Centre, 211A Wills Street",3,0,0,2,0,8,1,7,1,0,0,0,0,0,0,2,0,24,0
,"Walnut Ave Pavillion, 66 Walnut Avenue",4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,7,0
Avonhead,"Burnside Bowls Club, 330 Avonhead Road",3,0,0,1,0,7,0,15,0,0,0,0,0,0,0,1,0,27,0
Burnham,"Burnham School Hall, Corner Chaytor Avenue & Godley Road",16,1,0,9,0,51,0,19,2,4,0,0,0,0,0,6,0,108,0
Cashmere,"South Christchurch Library, 66 Colombo Street",2,0,0,1,0,20,0,8,0,0,0,0,0,0,0,0,0,31,0
Central City,"Ara Institute of Canterbury (Rakaia Building), 130 Madras Street",9,0,0,9,0,44,0,23,0,0,0,0,0,0,0,6,0,91,1
,"Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street",6,1,0,5,0,18,0,15,3,0,0,0,0,0,0,0,0,48,0
,"Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue",18,0,1,8,0,85,0,56,1,5,1,0,0,0,0,2,0,177,3
,"South City Shopping Mall, 555 Colombo Street",10,2,0,8,0,59,0,28,0,2,0,0,0,0,0,1,1,111,1
,"Tūranga Library (Spark Place Ground floor), 60 Cathedral Square",7,0,0,8,0,31,1,24,2,2,0,0,0,0,0,1,0,76,0
Cracroft,"Christchurch Adventure Park, 225 Worsleys Road",4,0,0,3,0,9,0,3,1,1,0,0,0,0,0,1,0,22,0
Darfield,"St Joseph's Parish Centre, 1981 Telegraph Road",268,12,1,100,0,847,4,711,50,35,3,2,1,0,0,18,0,2052,13
Dunsandel,"Dunsandel Community Centre, 1456 Tramway Rd",8,1,1,2,0,40,0,27,0,2,0,0,0,0,0,0,0,81,0
Fendalton,"Fendalton Community Centre, 170 Clyde Road",4,0,0,1,0,6,0,6,1,0,0,0,0,1,0,0,0,19,0
,"Halswell School Hall, Corner Kennedys Bush & School Roads",0,0,0,1,0,1,0,17,0,0,0,0,0,0,0,0,0,19,0
,"Saint Peter & Paul's Church Hall Halswell (formerly Our Lady of the Apostles), 56 Nicholls Road",1,1,0,0,0,4,0,4,0,0,0,0,0,0,0,1,0,11,0
,"Te Hāpua: Halswell Centre, Piharau Room, 341 Halswell Road",48,3,0,24,0,126,0,117,0,4,0,0,0,0,0,2,0,324,2
Harewood,"Business Park, 100 Orchard Road",17,0,0,0,0,16,0,31,0,1,0,0,0,0,0,0,0,65,0
Hei Hei,"Gilberthorpe School, 163 Gilberthorpes Road",6,0,0,2,0,38,0,18,0,1,1,0,0,0,0,1,0,67,0
,"Hei Hei Community Centre, 12 Wycola Avenue",9,2,0,7,0,60,0,27,4,8,1,1,0,0,0,5,0,124,0
Hornby,"Hornby Community Care Centre, 8 Goulding Avenue",25,0,0,7,0,91,0,60,5,4,0,0,0,0,0,2,0,194,1
,"The Hub Hornby Shop 56 (opposite Pascoes), 418 Main South Road",128,6,4,46,0,593,1,382,21,31,1,0,0,0,0,10,1,1224,7
Ilam,"University Canterbury, Student Association Haere-Roa, Ilam Road",3,0,0,7,0,4,0,11,0,0,0,0,0,0,0,0,0,25,0
,"University of Canterbury, James Hight Library, Ilam Campus, Ilam Road",22,1,0,43,0,71,4,29,3,2,0,1,0,0,0,8,0,184,1
Kirwee,"Kirwee Model School, 34 School Lane",18,0,0,8,0,51,0,35,7,3,0,0,0,0,0,1,0,123,0
Leeston,"Leeston Consolidated School, 19 Selwyn Street",36,3,2,16,0,152,0,75,8,10,0,1,0,0,0,5,0,308,0
,"Leeston Library, 19 Messines Street",138,17,1,51,0,658,0,414,29,38,1,2,0,1,0,12,0,1362,5
Lincoln,"Ararira Springs Primary School, 18 Russ Drive",11,0,0,14,0,72,0,47,6,0,0,0,0,0,0,1,0,151,0
,"Lincoln Event Centre, 15 Meijer Drive",438,20,8,251,0,1602,4,1239,48,49,2,7,0,1,1,39,0,3709,11
,"Lincoln High School Waiora, 25 Boundary Road",23,0,1,8,0,43,0,30,0,3,0,0,0,0,0,0,0,108,0
,"Lincoln University, George Forbes Memorial Library, Corner Ellesmere Junction & Springs Roads",32,1,0,51,0,126,0,144,8,5,0,0,0,0,0,11,0,378,1
Methven,"Mt Hutt Memorial Hall, 160 Main Street",3,2,0,3,0,7,0,13,1,0,0,0,0,0,0,0,0,29,0
Oxford,"Oxford Jaycee's Hall, 56 Main Street",2,0,0,1,0,7,0,8,0,2,0,0,0,0,0,0,0,20,0
Papanui,"Northlands Mall, near Farmers, 55 Main North Road",9,0,0,2,0,23,0,15,0,2,0,0,0,0,1,0,0,52,0
,"Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",3,0,0,4,0,33,0,20,1,0,0,0,0,0,0,0,0,61,1
Prebbleton,"All Saints Church Hall, 1-7 Blakes Road",92,9,0,41,0,212,1,263,11,14,0,1,0,1,0,14,0,659,3
,"Prebbleton School Hall, 2-8 Blakes Road",90,1,0,42,0,312,0,314,7,14,0,0,0,0,0,7,0,787,1
Rakaia,"Rakaia Community Centre, Corner Elizabeth Avenue & Mackie Street",1,0,0,0,0,2,0,6,2,0,0,1,0,0,0,1,0,13,0
Riccarton,"Westfield Mall Riccarton, Level 2, 129 Riccarton Road",43,2,1,26,0,155,0,117,3,3,0,0,0,2,0,4,0,356,1
,"Wharenui School Hall, 32 Matipo Street",1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0
Rolleston,"Clearview Primary Hall, 20 Broadlands Drive",49,0,2,20,0,256,0,168,11,10,1,2,0,0,0,5,0,524,1
,"Lemonwood Grove School, 14 Lemonwood Drive",33,3,0,18,0,215,0,121,7,4,0,0,0,0,0,9,0,410,1
,"Selwyn District Council, 2 Norman Kirk Drive",793,43,14,261,2,3175,3,2079,148,153,4,1,0,8,3,72,0,6759,33
,"West Rolleston School, 327 Dunns Crossing Road",55,3,0,20,0,211,0,112,2,8,0,3,0,0,0,2,0,416,3
Somerfield,"Pioneer Recreation & Sport Centre Lounge, 1st Floor, 75 Lyttelton Street",3,0,0,1,0,7,0,14,0,0,0,0,0,0,0,0,0,25,0
Spreydon,"Barrington Mall Shop (former NZ Post shop), 256 Barrington Street",11,0,0,4,0,33,0,13,1,0,0,0,0,0,0,2,0,64,0
Sydenham,"Powell Fenwick Building, 383 Colombo Street",14,0,0,9,0,14,1,13,5,0,0,0,0,0,0,2,0,58,0
Tai Tapu,"Tai Tapu School, Corner School Road & Main Akaroa Highway",19,0,0,7,0,52,0,41,0,1,0,0,0,0,0,3,0,123,0
Templeton,"Templeton Primary School Auditorium, 40 Kirk Road",20,0,0,7,0,156,0,40,1,2,0,1,0,0,0,2,0,229,0
Upper Riccarton,"Bush Inn Centre (Old Post Shop), Corner Riccarton & Waimairi Roads",16,2,0,12,0,62,1,60,5,3,0,0,0,0,2,1,0,164,2
