Party and Electorate Candidate Votes Recorded at each Voting Place
Taieri 47,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Andersons Bay,"Edgar Centre, 116 Portsmouth Drive",21,1,0,38,0,206,0,47,0,6,0,0,0,0,0,10,0,329,0
Balclutha,"South Otago Town and Country Club, Matau Room,, 1 Yarmouth Street",2,0,0,0,0,21,0,8,0,2,0,0,0,0,0,0,0,33,0
,"War Memorial Hall, 4 Clyde Street",185,14,10,41,0,1218,1,674,43,66,3,11,0,0,0,8,0,2274,25
Caversham,"Carisbrook School, 217 South Road",2,0,0,10,0,77,0,9,1,4,1,0,0,0,0,4,0,108,1
,"Caversham Presbyterian Church Hall, 61 Thorn Street",91,15,6,145,0,1314,6,244,16,66,3,3,2,2,1,19,1,1934,15
,"Pacific Otago Trust, 350 South Road",6,0,0,5,0,61,1,5,0,1,0,0,0,0,0,3,0,82,0
,"Te Kāika Caversham, 25 College Street",7,4,0,17,0,67,0,13,1,1,0,0,0,0,0,1,0,111,4
Clinton,"Clinton Community Centre, 2 Skerry Street",2,0,0,0,0,5,0,8,1,0,0,0,0,0,0,0,0,16,0
Corstorphine,"Caversham Harrier & Athletic Clubrooms, 201 Middleton Road",14,2,1,17,0,189,0,50,3,2,1,0,1,0,0,4,0,284,1
Dunedin,"Dunedin Hospital, Octagonal Room, 1st Floor, 201 Great King Street",2,0,0,7,0,54,0,5,0,1,0,0,0,0,0,0,0,69,1
,"Knox Church Hall, 453 George Street",9,0,0,3,0,59,0,11,2,1,0,0,0,0,0,1,0,86,0
,"Meridian Mall (ex Factorie Shop), 285 George Street",92,6,5,129,0,1098,2,258,13,22,1,1,0,0,0,28,1,1656,6
,"Municipal Chambers, The Octagon",45,3,2,97,0,443,0,131,5,12,1,2,1,1,0,14,0,757,4
,"Otago Polytechnic, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",14,0,0,36,0,164,0,34,4,0,0,0,0,0,0,8,0,260,0
,"Scenic Hotel Southern Cross (off Princes Street), Cargill Room, 118 High Street",55,2,1,69,0,377,2,80,2,8,2,1,1,0,0,15,0,615,9
,"Te Hou Ora Whānau Services, 78 Carroll Street",4,0,0,1,0,12,0,1,0,0,0,1,0,0,0,1,0,20,0
,"Te Huka Mātauraka Māori Centre, 519 Castle Street North",0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
,"University of Otago, ISB Link East, 660 Cumberland Street",26,0,1,137,0,359,3,67,4,9,0,0,0,1,0,23,0,630,4
,"University of Otago, St David's Complex, St David Street",9,0,1,52,0,131,0,19,2,3,1,0,0,0,0,5,0,223,0
,"University of Otago, Unipol, University Plaza Building One, 130 Anzac Avenue",9,0,0,19,0,53,1,14,0,1,0,0,0,0,0,3,0,100,0
East Taieri,"East Taieri School, 11 Cemetery Road",12,0,0,2,0,54,0,34,4,0,0,0,0,0,0,2,0,108,0
