Party and Electorate Candidate Votes Recorded at each Voting Place
Takanini 48,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Botany,"Botany Library, Level 1, Sunset Terrace",64,2,1,34,0,417,3,430,16,7,0,0,0,0,14,7,9,1004,6
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",20,1,1,6,0,98,1,78,2,0,0,2,0,0,2,0,1,212,0
Botany Downs,"Botany Downs Secondary College, 575 Chapel Road",2,1,0,1,0,10,0,14,0,1,0,0,0,0,0,0,0,29,1
Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",6,1,0,8,0,85,0,25,1,6,0,0,0,0,0,0,0,132,0
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",6,0,0,5,0,134,0,40,1,2,0,0,0,0,0,0,1,189,2
,"Tupu Youth Library, 102 Dawson Road",26,11,2,30,0,604,1,159,15,13,0,4,0,1,0,2,12,880,7
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",2,0,0,0,0,71,1,52,1,2,0,0,0,0,1,0,0,130,1
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,0,0,0,12,0,5,3,0,0,0,0,0,0,0,0,20,0
,"Kia Aroha College, 51 Othello Drive",0,0,0,0,0,41,0,7,0,1,0,0,0,0,0,0,0,49,1
,"Mission Heights Primary School Hall, 103 Jeffs Road",64,4,0,22,0,350,1,408,7,5,0,0,0,0,12,7,1,881,13
,"Ormiston Senior College, Main Entrance Foyer, 275 Ormiston Road",53,1,0,23,0,484,0,387,5,2,0,1,0,1,27,3,2,989,12
Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",65,2,2,56,0,688,6,342,28,26,1,3,0,1,10,12,6,1248,7
,"Everglade School Hall, 64 Everglade Drive",20,0,0,13,0,202,1,100,6,10,0,0,0,0,1,2,3,358,2
Highland Park,"Masonic Centre, 3 Highland Park Drive",1,0,0,1,0,13,0,18,0,0,0,0,0,0,0,0,0,33,0
Howick,"Howick Library Fencible Room, 25 Uxbridge Road",2,1,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,27,0
Manukau,"Westfield Manukau Mall (Open Space), Corner Great South & Manukau Station Roads",17,2,0,17,0,292,5,143,9,6,0,2,0,0,0,5,4,502,6
,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",45,8,3,39,0,798,7,337,20,20,1,1,0,1,2,6,8,1296,7
Manurewa,"Hillpark School Hall, 57 Grande Vue Road",1,1,0,0,0,27,0,13,3,3,0,0,0,0,0,1,0,49,0
,"Manurewa Library, 7 Hill Road",71,11,0,67,1,1083,3,480,41,50,1,4,0,0,5,9,2,1828,20
,"St Anne's Catholic Church, 126 Russell Road",9,1,0,12,0,173,0,48,0,8,0,0,0,1,0,3,2,257,5
,"St John's Hall, 10 Weymouth Road",10,6,0,16,0,154,1,52,6,12,0,0,0,0,0,0,0,257,4
,"St Luke's Anglican Church Hall, 3 Russell Road",17,4,4,21,0,390,3,139,11,27,0,0,0,0,0,1,5,622,4
Manurewa East,"Alfriston College, KTK Foyer, Alfriston Road entrance",29,0,1,14,0,317,1,157,11,8,0,1,0,0,3,1,2,545,6
,"Manurewa Scout Hall, 23 Alfriston Road",18,9,1,14,0,288,2,115,16,16,0,3,0,0,2,2,3,489,13
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",5,0,0,1,0,10,0,26,1,0,0,1,0,0,0,0,0,44,0
Papakura,"Accent Point Building, Level 3, Library Foyer, 28 East Street",4,0,0,0,0,10,0,10,0,1,0,0,0,0,0,0,0,25,0
,"Papakura Normal School Hall, 49 Walters Road (Walters Road entrance)",2,0,0,0,0,26,0,24,3,1,0,0,0,0,0,0,0,56,0
,"South Auckland Car Club, Wellington Park, 1 Great South Road",0,0,0,2,0,30,0,14,1,3,0,1,0,0,0,1,0,52,0
Papatoetoe,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",3,0,1,2,0,164,0,44,0,2,0,0,0,0,0,1,2,219,3
Takanini,"Gateway Shopping Centre, Shop C1, Corner Great South Road & Manuroa Road",181,15,1,112,0,1614,3,987,40,55,0,2,0,1,11,20,5,3047,20
,"Takanini Hall, 8 Takanini Road",107,10,7,74,0,1064,8,582,30,46,1,0,0,0,8,15,9,1961,15
The Gardens,"The Gardens School Hall, 101 Charles Prevost Drive",62,5,2,27,0,281,0,264,8,9,1,0,0,0,1,5,1,666,1
