Party and Electorate Candidate Votes Recorded at each Voting Place
Taranaki-King Country 50,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Bell Block,"Pacific International Hotel Management School, 4 Henwood Road",15,0,0,5,0,30,2,53,1,3,0,0,0,0,0,2,0,111,0
Cambridge,"Cambridge Primary School, 3 Wilson Street",1,0,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,7,0
,"Hautapu Rugby Club, 211 Victoria St",6,0,0,1,0,10,0,23,2,0,0,0,0,0,0,2,0,44,0
,"Victoria Room, Cambridge Town Hall, Corner Queen & Victoria Streets",10,1,0,3,0,31,0,40,2,4,0,0,0,0,0,3,0,94,2
Dinsdale,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",0,0,0,0,0,10,0,7,1,0,0,0,0,0,0,2,0,20,0
Frankton,"Forlongs Building (entry from Kent Street), Corner of Hall & Kent Streets",37,1,1,16,0,95,0,81,7,6,0,1,0,1,0,2,0,248,2
Glen Massey,"Glen Massey School, 897 Waingaro Road",9,1,0,6,0,40,1,18,1,3,1,0,0,0,0,3,0,83,0
Hamilton Central,"311 Victoria Street, (formerly WINZ Community Hub)",9,1,0,21,0,45,1,42,2,5,0,0,0,1,0,7,0,134,0
Hamilton Lake,"The Verandah, Lake Domain Drive",17,0,0,9,0,60,3,43,4,5,0,0,0,0,0,3,0,144,3
Hillcrest,"University of Waikato, Gate 1, Knighton Road",8,0,0,11,0,32,1,20,2,1,2,0,0,1,0,7,0,85,0
Horotiu,"Horotiu School, 89 Horotiu Bridge Road",17,1,0,2,0,50,0,35,3,3,0,0,0,0,0,3,0,114,2
Inglewood,"Inglewood High School, 129 Rata Street",33,5,0,7,0,134,1,81,2,4,2,0,0,0,0,2,0,271,1
,"Inglewood Primary School, 33 Kelly Street",28,0,2,10,0,152,0,93,4,6,1,0,0,0,0,4,0,300,0
,"Inglewood Public Library, 46 Rata Street",125,13,2,33,0,434,4,374,23,29,2,0,1,0,1,7,0,1048,6
Kaipaki,"Kaipaki School Library, 687 Kaipaki Road",19,0,0,0,0,14,0,31,0,1,0,0,0,0,0,1,0,66,0
Kawhia,"Kawhia Community Hall, 141 Jervois Street",15,0,1,6,0,70,0,24,2,5,0,1,0,0,0,1,0,125,2
Kihikihi,"Kihikihi Town Hall, 26 Lyon Street",69,9,3,30,0,364,3,236,23,32,7,0,0,0,0,3,0,779,12
Koromatua,"Koromatua School, 355 Koromatua Road",15,0,0,3,0,33,0,27,1,0,0,0,0,0,0,0,0,79,0
Melville,"Melville Community Hall, 84 Ohaupo Road",7,2,0,5,1,37,0,25,2,1,0,0,0,0,0,1,0,81,1
,"Melville Methodist Church Hall, 4 Bader Street",2,0,1,1,0,9,0,10,0,2,0,1,0,0,0,0,0,26,0
