Party and Electorate Candidate Votes Recorded at each Voting Place
Taupō 51,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Cambridge,"Cambridge East School, Corner Bowen & Williams Streets",50,2,0,17,0,167,0,121,3,2,0,2,0,0,0,4,0,368,3
,"Cambridge High School, 25 Swayne Road",51,2,1,11,0,170,1,127,3,7,1,0,0,1,0,1,0,376,0
,"Cambridge Primary School, 3 Wilson Street",49,1,0,18,0,218,3,164,15,12,0,1,1,0,0,7,0,489,2
,"Hautapu Rugby Club, 211 Victoria St",213,15,2,53,0,543,3,679,19,32,1,0,1,0,0,20,0,1581,3
,"Leamington Primary School, Corner Lamb & Scott Streets",55,2,3,24,0,231,2,169,14,10,0,1,0,3,0,10,0,524,2
,"Raleigh Street Christian Centre, 24 Raleigh Street",180,20,5,79,0,857,6,805,40,58,3,3,0,2,0,27,0,2085,16
,"Victoria Room, Cambridge Town Hall, Corner Queen & Victoria Streets",267,15,2,139,0,1304,3,1174,52,80,2,7,1,2,2,41,0,3091,16
Hamilton Central,"311 Victoria Street, (formerly WINZ Community Hub)",5,1,0,2,0,23,0,17,0,0,0,0,0,0,0,2,0,50,1
Hamilton Lake,"The Verandah, Lake Domain Drive",3,0,0,1,0,16,0,3,1,2,0,0,0,0,0,2,0,28,0
,"Matamata-Piako Civic and Memorial Centre, 11 Tainui Street",9,1,0,0,0,30,0,20,2,1,0,0,0,0,0,1,0,64,0
Putāruru,"Putaruru Contract Bridge Club, 3 Overdale Street",159,22,7,52,0,910,4,635,38,79,2,4,1,0,0,15,0,1928,17
Reporoa,"Reporoa Settlers Hall, 3834 Broadlands Road",2,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,12,0
Rotorua,"Rotorua Central Mall, Shop 3, 1170 Amohau Street",4,0,1,2,0,35,0,10,0,2,0,0,0,0,0,1,0,55,0
,"Shop near Te Manawa, 1271 Tutanekai Street",0,2,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,13,0
Taupō,"28 Heuheu St (next to Footloose), Town Centre",449,24,11,166,0,1700,11,1453,32,76,11,7,0,2,1,53,1,3997,14
,"Corner Tongariro and Horomatangi St (formerly Champions of the World), Town Centre",386,37,5,97,0,1150,7,1113,35,53,7,12,1,0,1,44,0,2948,21
,"Nukuhau Marae, 26 Pitiroi St",5,1,1,3,0,40,1,29,1,1,0,0,0,0,0,1,0,83,1
,"Taupō Primary School, Corner Tamamutu & Ruapehu Streets",72,8,2,29,0,252,3,183,6,10,6,1,0,0,0,4,0,576,3
,"Unit 16a (next to Hospice shop), 29 Totara St",331,34,4,118,1,1312,2,1059,36,65,15,12,1,2,0,36,1,3029,13
Te Rapa,"Te Awa, The Base (beside children's playground in main car park area), Maahanga Drive",4,2,0,2,0,40,0,19,0,0,0,0,1,0,0,2,0,70,0
Tokoroa,"St John Ambulance Hall, 62 Logan Street",226,37,12,71,0,2526,14,697,71,139,8,39,3,1,1,31,4,3880,31
