Party and Electorate Candidate Votes Recorded at each Voting Place
Tauranga 52,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"University of Waikato - Tauranga Campus, Durham Street",27,3,0,12,1,100,1,114,4,8,0,1,0,0,0,2,0,273,6
Bethlehem,"Bethlehem Primary School Hall, 66 Carmichael Road",22,0,0,11,0,65,1,91,3,7,0,0,0,0,0,3,0,203,0
,"Bethlehem Town Centre #3, 19 Bethlehem Road",79,18,1,35,0,272,2,282,34,22,1,2,0,0,0,13,0,761,4
,"Bethlehem Town Centre (between The Coffee Club & Columbus Coffee), 19 Bethlehem Road",260,18,4,109,0,1023,5,1185,81,79,4,6,0,1,0,27,1,2803,29
,"Bethlehem Town Centre (by Hammer Hardware), 19 Bethlehem Rd",276,29,4,116,0,1272,8,1317,94,119,2,4,0,1,1,28,3,3274,18
Brookfield,"Brookfield School, 20 Millers Road",39,8,1,33,0,279,0,123,13,27,0,5,0,1,0,6,0,535,5
Gate Pa,"Gate Pa School, 900 Cameron Rd",4,4,2,16,0,139,1,35,3,10,0,0,0,1,0,3,1,219,2
Greerton,"Church of Christ, 1400 Cameron Road",155,18,4,56,0,916,4,546,56,102,2,3,1,1,2,15,2,1883,18
,"Greenpark School, 13 Lumsden Street",10,2,1,5,0,93,1,46,2,5,1,0,0,0,0,5,0,171,0
,"Greerton Community Hall, 1247 Cameron Road",62,11,4,40,0,439,4,203,19,40,0,4,0,0,2,12,0,840,8
,"Western Bay District Council, 1484 Cameron Rd",67,10,1,19,0,270,1,222,28,19,3,4,1,0,0,9,0,654,3
Hairini,"Baden Powell Centre, Ila Park, 46 Harrisfield Drive",5,0,0,2,0,17,0,11,2,3,0,0,0,0,0,0,0,40,0
Katikati,"Pātuki Manawa - The Hub, 21 Main Road",2,0,0,4,0,14,0,8,0,2,0,0,0,0,0,0,0,30,0
Matua,"Matua School, 147 Levers Rd",108,7,1,45,0,340,1,296,21,22,1,0,0,3,0,10,0,855,4
Merivale,"Fraser Cove Centre ex Toyworld, 221 Fraser St",160,30,12,98,0,1154,12,490,72,97,2,7,2,0,0,31,6,2173,18
Mount Maunganui,"Arataki Community Centre, Zambuk Way (off Grenada Street)",19,6,0,21,0,107,2,74,4,6,0,1,0,0,0,9,1,250,1
,"Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads",142,23,4,117,0,639,1,499,18,38,1,0,0,3,0,39,1,1525,8
,"Harbourside Netball Centre, Opposite 476 Maunganui Rd",89,5,1,52,0,275,3,269,9,13,0,1,0,0,0,23,0,740,2
,"HomeZone Shopping Centre - former Fruit and Vegetable shop, Unit 2B 2-10 Owens Place",46,2,1,16,0,112,0,146,3,9,0,0,0,0,0,3,2,340,1
,"Mount Maunganui Intermediate School, 21 Lodge Avenue",8,0,0,3,0,24,0,27,1,0,0,0,0,0,0,2,0,65,1
,"Mt Maunganui College, 565 Maunganui Road",16,3,0,18,0,60,1,65,8,4,0,0,0,0,1,7,0,183,0
,"Mt Maunganui Surf Club, 21 Adams Avenue",50,2,0,20,0,104,1,126,4,11,0,0,0,0,0,11,1,330,5
,"Senior Citizens' Hall, 345 Maunganui Road",186,8,3,78,0,522,0,658,6,36,2,3,0,1,0,34,0,1537,8
Ōmokoroa,"Omokoroa Settler's Hall, 334 Omokoroa Road",3,0,0,3,0,9,0,3,0,0,0,0,0,0,0,1,0,19,0
Otūmoetai,"Otumoetai Intermediate School, 5 Charles Street",15,2,1,12,0,107,2,46,8,3,0,0,0,0,0,5,0,201,0
,"Otumoetai School, 236 Otumoetai Road",30,2,1,17,0,198,1,116,7,14,0,2,0,0,0,8,0,396,0
Papamoa Beach,"Evans Road Community Church, 30 Evans Road",2,1,0,3,0,15,0,4,0,0,0,0,0,0,0,0,0,25,0
,"Papamoa Community Centre, 15 Gravatt Road",8,0,0,11,0,53,1,25,1,4,1,0,0,0,0,3,0,107,1
,"Papamoa Plaza, Shop 66 (Near Foodcourt), 7 Gravatt Road",15,1,0,7,0,72,0,34,4,2,0,0,0,0,0,3,0,138,2
,"Papamoa Primary School, 312 Dickson Road",0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0
,"Papamoa Sport and Recreation Centre, 80 Alice Way",3,1,1,7,0,19,0,13,3,1,0,0,0,1,0,1,0,50,1
Pillans Point,"Pillans Point School, 101 Maxwells Road",34,2,0,17,0,130,0,124,2,24,0,0,0,4,0,4,0,341,4
Poike,"Toi Ohomai Institute of Technology Library, Gate 1, 70 Windemere Drive",20,3,0,23,0,113,2,36,4,7,1,1,0,0,0,9,0,219,0
Pyes Pa,"Aquinas College, 183 Pyes Pa Road",37,2,0,8,0,135,1,138,9,8,0,0,0,0,0,5,0,343,1
,"Pyes Pā School, 978 Pyes Pa Road",3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,11,0
,"Taumata School, 145 Mortlake Heights",17,2,0,3,0,36,0,41,5,1,0,0,0,0,0,1,0,106,0
Tauranga,"Ex Frank Casey (Opposite ACC building), 89 Grey St",175,10,3,108,1,736,5,550,26,52,2,0,0,1,0,45,1,1715,8
,"Ex i-Site Centre (next to Tauranga Library), 95 Willow St",170,12,5,166,0,853,9,547,26,79,1,4,2,3,0,51,1,1929,11
,"Tauranga Primary School Hall, 31 5th Avenue",18,0,0,11,0,58,1,46,0,9,0,0,0,0,0,5,0,148,2
