Party and Electorate Candidate Votes Recorded at each Voting Place
Tukituki 54,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Mobile AVP1,0,0,0,2,0,7,0,0,1,1,0,0,0,0,0,0,0,11,0
Akina,"Hastings Central School, 400 Karamu Road South (corner Southampton Street)",7,0,1,8,0,108,0,33,5,3,0,1,0,0,0,2,0,168,0
,"Hastings Christian School, 1009 Copeland Road",10,0,0,6,0,80,1,33,18,1,0,1,0,0,0,2,0,152,3
,"St Joseph's School, 404 Eastbourne Street East",6,1,1,13,0,104,1,32,3,1,1,0,0,1,0,1,0,165,2
Bridge Pa,"Bridge Pa School, 1642 Maraekakaho Road",4,1,1,5,0,27,0,15,4,1,0,0,0,0,0,0,0,58,2
Camberley,"Camberley Community Centre, 703 Kiwi Street",12,2,0,9,0,228,5,38,7,7,1,2,0,0,0,5,1,317,10
Clive,"Clive Community Hall, 162 Main Road",116,13,4,76,0,611,4,343,15,22,1,1,1,0,0,18,0,1225,6
Flaxmere,"Cook Island Community Centre, 7 Swansea Road",15,1,3,11,0,170,1,27,7,7,1,1,0,0,0,1,0,245,3
,"Flaxmere Christian Fellowship Church, 220 Flaxmere Avenue",1,4,1,1,0,52,0,17,2,4,0,1,0,0,0,0,1,84,0
,"Flaxmere Community Centre, 30 Swansea Road",45,10,11,41,0,933,13,162,21,38,1,9,0,1,0,8,1,1294,19
,"Flaxmere Primary School Hall, 12 Whitby Crescent",2,1,0,3,0,67,0,26,1,3,0,1,0,0,0,0,0,104,2
,"Irongate School, 16 Walton Way",0,0,1,1,0,47,0,8,1,0,0,0,0,0,0,0,0,58,1
Frimley,"Frimley School, 202 Frimley Road",28,1,1,12,0,168,2,113,11,5,0,2,0,0,0,8,0,351,6
Haumoana,"Haumoana School Hall, 7 Raymond Road",21,7,0,34,0,131,0,62,1,5,0,0,0,0,0,5,0,266,1
Havelock North,"Havelock North Function Centre, 30 Te Mata Road",895,57,7,481,0,3213,7,3180,127,120,3,12,3,3,1,60,1,8170,50
,"Havelock North High School, 177 Te Mata Road",16,0,0,10,0,86,0,67,1,2,0,0,0,0,0,4,0,186,1
,"Lucknow School, 42 Elliott Crescent",17,1,0,2,0,67,1,38,2,2,0,0,0,0,0,0,0,130,1
Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",2,0,0,3,0,13,1,5,1,0,0,0,0,0,0,0,0,25,0
Mahora,"St John's Presbyterian Church, Jireh Hall, 608 Frederick Street",237,21,15,183,0,2105,12,933,114,83,1,9,4,3,1,19,1,3741,25
Maraekakaho,"Maraekakaho School, 68 Kereru Road",25,0,0,1,0,47,0,55,0,0,0,0,0,0,0,3,0,131,0
Marewa,"Marewa Shopping Centre, 126 Kennedy Road",15,0,1,7,0,79,2,37,3,5,0,1,0,0,0,3,0,153,2
Mayfair,"Karamu High School Hall, 1036 Windsor Avenue",16,0,1,4,0,120,2,68,10,4,1,1,0,0,0,4,0,231,4
,"Mayfair School, 1110 Willowpark Road North",15,5,3,19,0,184,1,46,9,10,0,1,0,1,0,2,0,296,2
Napier,"Napier City Shopping Centre, 1/1 Dickens St",23,1,1,15,0,113,2,60,4,1,0,0,0,0,0,1,0,221,0
Omahu,"Omahu School, 22 Taihape Road",9,2,0,8,0,27,0,23,0,2,0,0,0,0,0,0,0,71,0
Ōtāne,"Otane Hall, 27 Higginson Street",28,3,3,10,0,135,2,94,4,8,0,1,0,1,0,2,0,291,2
Pakowhai,"Pakowhai School, 25 Chesterhope Road",14,2,0,3,0,25,0,21,2,4,0,0,0,0,0,1,0,72,1
Parkvale,"Gordon Black Hall, 912 Queen Street East",15,0,1,8,0,105,1,34,3,3,0,0,0,1,0,3,0,174,2
Puketapu,"Puketapu School, 708 Puketapu Road",5,0,0,1,0,15,0,9,0,0,0,0,0,0,0,0,0,30,1
Raureka,"Ebbett Park School Hall, 600 Oliphant Road",6,0,1,3,0,81,0,16,3,1,0,0,0,0,0,0,0,111,0
,"Hawkes Bay Racecourse, 300 Prospect Road",313,24,15,239,1,2143,11,1150,89,82,4,10,3,1,0,54,3,4142,22
,"Raureka School Hall, 916 Gordon Road",13,1,0,3,0,147,0,40,5,3,0,0,1,0,0,1,0,214,2
Takapau,"Takapau School Hall, Nancy Street",4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0
,"EIT Cafeteria and Student Association, 501 Gloucester Street",8,0,0,14,0,58,0,30,3,0,0,0,0,0,0,5,0,118,0
,"Taradale Shopping Centre, 264 Gloucester St",46,2,1,23,0,122,2,111,2,2,0,0,0,0,0,0,0,311,2
Tikokino,"Tikokino School, 43 Owen Street",6,0,0,4,0,25,0,38,0,0,0,0,0,0,0,0,0,73,0
Waipawa,"St Peter's Church Hall, Corner Kenilworth Street & Church Street",13,1,0,8,0,38,0,42,3,0,1,0,0,0,0,3,0,109,1
,"Waipawa School Technology Block, 6 Harker Street",0,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,0,15,1
Waipukurau,"A W Parsons Pool Meeting Room, 10 River Terrace",67,4,1,14,0,154,3,179,8,8,0,0,0,1,0,2,0,441,1
,"Central Hawkes Bay College Library, 45 Tavistock Road",1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,7,0
,"Waipukurau School Hall, St Marys Road",1,1,0,0,0,6,0,7,2,1,0,0,0,0,0,0,0,18,0
