Party and Electorate Candidate Votes Recorded at each Voting Place
Waimakariri 57,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Rest Homes Team 2 - Taken in Waimakariri,3,0,0,3,0,83,0,75,4,3,0,0,1,1,0,0,0,173,4
Belfast,"Belfast School, 700 Main North Road",20,0,1,13,0,158,0,60,6,7,0,0,0,0,0,3,0,268,1
Bishopdale,"Cotswold School Hall, 50 Cotswold Avenue",9,0,0,6,0,43,1,28,1,1,0,0,0,1,0,0,0,90,0
,"Ōrauwhata Bishopdale Library & Community Centre, 13 Bishopdale Court",45,5,2,31,0,306,3,187,12,11,2,1,0,2,0,4,0,611,2
Central City,"Aldersgate Centre (Garden Entrance), 309 Durham Street North",2,0,0,2,0,5,0,4,1,0,0,0,0,0,0,0,0,14,0
,"Ara Institute of Canterbury (Rakaia Building), 130 Madras Street",10,0,2,10,0,37,0,17,3,1,0,0,0,0,0,4,0,84,0
,"Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street",10,1,0,6,0,28,0,12,3,1,0,0,0,0,0,1,0,62,0
,"Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue",8,0,0,5,0,84,0,50,3,2,0,0,1,0,0,2,0,155,1
,"South City Shopping Mall, 555 Colombo Street",12,3,2,21,0,80,0,33,2,0,0,0,0,0,0,2,0,155,1
,"Tūranga Library (Spark Place Ground floor), 60 Cathedral Square",6,0,0,8,0,28,0,16,0,1,0,0,0,0,0,3,0,62,0
Cracroft,"Christchurch Adventure Park, 225 Worsleys Road",2,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,9,0
Cust,"Cust School, 473 Earlys Road",46,1,0,17,0,129,0,78,3,4,0,0,0,0,0,0,0,278,2
Harewood,"Business Park, 100 Orchard Road",20,0,0,3,0,37,0,38,0,5,1,1,0,0,0,1,0,106,0
Ilam,"University Canterbury, Student Association Haere-Roa, Ilam Road",2,0,0,1,0,14,1,6,0,0,0,0,0,0,0,3,0,27,0
,"University of Canterbury, James Hight Library, Ilam Campus, Ilam Road",14,0,0,40,0,89,1,34,2,0,0,0,0,0,0,6,0,186,0
Kaiapoi,"Kaiapoi Co-operating Parish, 53 Fuller Street",65,10,1,28,0,449,0,209,19,22,0,2,0,0,0,4,0,809,5
,"Kaiapoi High School Cultural Centre, 101 Ohoka Road",29,3,1,18,0,204,2,57,8,8,0,0,0,0,0,2,0,332,3
,"Kaiapoi Library and Service Centre, 176 Williams Street",319,21,11,184,0,2782,3,1004,85,96,3,5,7,4,1,35,1,4561,37
,"Kaiapoi North School, 278 Williams Street",21,0,1,13,0,174,0,81,8,6,0,0,0,0,0,3,0,307,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",1,1,2,4,0,12,0,10,1,1,0,1,0,0,0,0,0,33,0
Marshland,"Prestons Road - Shop 2, 420 Marshland Road",28,4,2,15,0,120,1,57,4,3,0,0,0,0,0,1,1,236,1
Northwood,"Northwood Supa Centa (old Caesars Restaurant), 1 Radcliffe Rd",326,14,3,137,0,1709,6,1177,64,58,0,4,4,2,0,27,0,3531,34
Oxford,"Oxford Jaycee's Hall, 56 Main Street",172,12,4,95,0,729,2,438,84,34,3,0,3,2,0,11,1,1590,19
Papanui,"Casebrook Intermediate School, 90 Veitches Road",25,2,0,17,0,151,0,68,8,5,0,0,0,1,0,7,0,284,0
,"North City Church Hall, 95a Sawyers Arms Road",11,2,0,6,0,48,0,36,2,3,0,0,0,0,0,0,0,108,2
,"Northlands Mall, near Farmers, 55 Main North Road",25,1,2,14,0,224,0,117,5,6,1,0,0,1,0,2,0,398,5
,"Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",73,4,1,37,0,510,0,259,24,8,0,1,1,0,0,8,0,926,11
,"St Silas Church Hall, 237 Main North Road",2,0,0,0,0,6,0,3,0,0,0,0,0,0,0,1,0,12,0
Pegasus,"Pegasus Bay School, 5 Solander Road",53,1,1,30,0,301,0,154,9,9,0,0,0,0,0,4,0,562,1
Rangiora,"Ashgrove School, 48 Seddon Street",29,1,0,8,0,128,0,79,16,3,0,0,0,0,0,2,0,266,1
,"East High Street Business Park (near The Warehouse), 13 High Street",508,54,22,219,1,3019,4,1699,248,137,4,2,4,3,0,41,3,5968,39
,"Rangiora Borough School, 157 King Street",29,0,1,14,0,193,0,92,19,7,0,0,0,0,0,0,0,355,0
,"Rangiora High School, 125 East Belt (Wales Street entrance)",15,0,0,3,0,42,1,32,4,0,1,0,0,0,0,1,0,99,1
,"Rangiora Public Library, 141 Percival Street",422,26,5,220,0,2381,6,1393,196,101,1,6,4,6,3,26,3,4799,38
Redwood,"Northcote School Hall, 26 Tuckers Road",7,0,0,0,0,26,0,13,1,0,0,0,0,0,0,0,0,47,0
,"Redwood School Hall, 51 Prestons Road",4,0,0,0,0,19,0,10,0,0,0,0,0,0,0,0,0,33,0
Riccarton,"Westfield Mall Riccarton, Level 2, 129 Riccarton Road",13,0,1,6,0,93,2,44,3,0,1,0,0,0,1,4,0,168,1
Shirley,"The Palms Mall - Shop (beside Food Court), Corner Marshland & New Brighton Roads",19,0,1,11,0,126,0,43,4,3,0,0,0,1,0,4,0,212,1
Swannanoa,"Swannanoa School, 1305 Tram Road",41,3,1,18,0,138,0,85,9,6,0,0,0,2,0,2,0,305,1
Upper Riccarton,"Bush Inn Centre (Old Post Shop), Corner Riccarton & Waimairi Roads",6,0,0,3,0,40,0,37,4,0,0,0,0,0,0,2,1,93,1
Woodend,"Woodend Community Centre, 6A School Road",98,17,2,47,0,637,3,298,35,25,0,1,2,1,0,7,0,1173,12
Woolston,"Ara Woolston Campus, Student Services Building, Corner Ensors Road & Sullivan Avenue",4,0,1,1,0,6,0,2,0,0,0,0,0,0,0,1,0,15,0
,Rest Homes Team 1 - Taken in Waimakariri,4,0,1,1,0,64,0,42,1,3,0,0,0,0,0,0,0,116,3

Voting Places
Amberley,"Hurunui Library - RSA Room, 111 Carters Road",3,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,9,0
Ashley,"Ashley School, Corner Boundary Road & Fawcetts Road",2,0,0,1,0,5,0,8,3,1,0,0,0,0,0,0,0,20,0
Belfast,"Belfast Salvation Army, 794 Main North Road",20,0,1,10,0,126,0,48,7,6,1,2,0,0,0,5,0,226,3
,"Belfast School, 700 Main North Road",34,2,0,8,0,139,0,87,7,5,0,0,0,1,0,1,0,284,2
Bishopdale,"Bishopdale School Hall, 465 Greers Road",1,0,0,4,0,8,0,7,0,3,0,0,0,0,0,0,0,23,0
,"Cotswold School Hall, 50 Cotswold Avenue",18,1,0,13,0,54,0,77,4,4,0,0,0,0,0,4,0,175,0
,"St Margaret's Presbyterian Church, The Hub, 94 Farrington Avenue",5,0,0,5,0,15,0,20,0,1,0,0,0,0,0,0,0,46,0
,"Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street",0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0
,"Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue",1,0,0,2,0,9,0,6,0,0,0,0,0,0,0,0,0,18,0
,"Tūranga Library (Spark Place Ground floor), 60 Cathedral Square",2,1,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,10,0
Clarkville,"Clarkville School, 10 Heywards Road",43,0,0,9,0,89,0,124,4,9,0,0,0,2,0,4,0,284,3
Cust,"Cust School, 473 Earlys Road",50,4,0,13,0,131,0,162,8,9,2,0,2,0,1,1,0,383,1
Eyreton,"Eyreton Hall, Corner Mandeville & South Eyre Roads",33,0,0,7,0,76,1,99,4,4,0,0,0,2,0,3,0,229,0
Fernside,"Fernside School, 285 O'Roarkes Road",46,4,1,10,0,100,0,163,6,10,2,1,0,1,0,5,1,350,0
Harewood,"Harewood Playcentre, 719 Harewood Road",2,0,0,2,0,9,0,20,0,1,0,0,0,0,0,0,0,34,0
Ilam,"Westburn School Hall, 257 Waimairi Road",2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0
Kaiapoi,"Kaiapoi Co-operating Parish, 53 Fuller Street",64,0,3,17,0,236,2,99,23,21,0,1,1,0,0,4,1,472,3
,"Kaiapoi High School Cultural Centre, 101 Ohoka Road",56,5,6,18,0,268,1,119,13,13,3,1,0,0,1,9,0,513,5
,"Kaiapoi North School, 278 Williams Street",65,4,5,29,0,330,0,171,27,16,0,0,0,1,0,1,0,649,6
Kainga,"Kainga Public Hall, 159 Kainga Road",3,0,1,0,0,5,0,3,0,0,0,2,0,0,0,0,0,14,0
Linwood,"Eastgate Mall, Upper Level, 20 Buckleys Road",0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,6,0
Loburn,"Loburn School, 73 Hodgsons Road",6,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,15,0
Mairehau,"Mairehau High School Hall, 440 Hills Road",2,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0
Marshland,"Fundamentals Preschool Marshland, 435 Marshland Road",1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0
,"Prestons Road - Shop 2, 420 Marshland Road",1,0,0,1,0,12,0,6,0,1,0,0,0,0,0,0,0,21,0
Northwood,"Northwood Supa Centa (old Caesars Restaurant), 1 Radcliffe Rd",65,6,1,21,0,252,3,212,7,8,0,0,0,1,1,5,0,582,2
Ohoka,"Ohoka School Community Sports & Event Centre, 261 Jacksons Road",72,1,2,23,0,131,0,176,14,11,0,0,0,0,0,2,0,432,2
Ouruhia,"Ouruhia School Library, 21 Turners Road",0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,0,0,12,1
Oxford,"Oxford Jaycee's Hall, 56 Main Street",52,5,1,20,0,165,2,185,33,15,0,3,1,0,1,5,0,488,5
Papanui,"Casebrook Intermediate School, 90 Veitches Road",43,1,0,22,0,208,0,129,24,15,0,0,0,0,1,5,0,448,1
,"North City Church Hall, 95a Sawyers Arms Road",2,0,0,2,0,15,0,7,0,0,0,0,0,0,0,0,0,26,0
,"Northlands Mall, near Farmers, 55 Main North Road",3,0,0,2,0,14,0,10,0,0,0,0,0,0,0,0,0,29,0
,"Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",5,0,0,1,0,30,0,20,6,2,0,0,0,0,0,1,0,65,2
,"Papanui High School Hall, 30 Langdons Road",1,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,10,0
,"St Joseph's School Hall, 4 Vagues Road",0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,10,0
,"St Silas Church Hall, 237 Main North Road",2,0,0,1,0,12,0,10,0,0,0,0,0,0,0,0,0,25,0
Pegasus,"Pegasus Bay School, 5 Solander Road",45,2,1,40,0,230,0,159,9,12,1,0,0,0,0,7,0,506,5
Rangiora,"Ashgrove School, 48 Seddon Street",52,3,0,14,0,244,0,159,11,12,0,0,0,0,0,9,0,504,2
,"East High Street Business Park (near The Warehouse), 13 High Street",58,4,5,22,0,276,4,189,18,19,1,4,0,0,1,9,2,612,7
,"Rangiora Borough School, 157 King Street",65,5,2,22,0,310,1,193,22,15,0,0,1,0,0,4,0,640,3
,"Rangiora Gateway New Life School, 2 Denchs Road",27,3,0,9,0,90,0,82,11,2,0,0,0,0,0,0,0,224,1
,"Rangiora High School, 125 East Belt (Wales Street entrance)",19,2,0,9,0,98,1,79,4,1,0,2,0,0,0,2,0,217,1
,"Te Matauru Primary, 59 Pentecost Road",29,1,1,10,0,125,1,99,9,11,1,0,1,1,0,4,0,293,0
Redwood,"Northcote School Hall, 26 Tuckers Road",2,2,0,1,0,20,0,16,2,3,0,0,0,0,0,1,0,47,1
,"Redwood School Hall, 51 Prestons Road",9,0,0,0,0,12,0,11,2,0,0,0,0,0,0,3,0,37,0
,"St Bedes Performing Arts Centre, 210 Main North Road",1,0,1,0,0,8,0,9,0,0,0,0,0,0,0,0,0,19,0
Shirley,"The Palms Mall - Shop (beside Food Court), Corner Marshland & New Brighton Roads",2,0,0,5,0,11,0,4,0,0,0,0,0,0,0,0,0,22,0
Swannanoa,"Swannanoa School, 1305 Tram Road",89,2,1,16,0,217,0,202,12,11,0,0,0,3,1,7,0,561,2
Tuahiwi,"Tuahiwi School, 206 Tuahiwi Road",7,1,0,4,0,52,1,38,4,8,0,0,0,0,0,0,0,115,2
View Hill,"View Hill School, 496 Island Road",14,0,0,5,0,20,0,28,4,2,0,0,0,0,0,1,2,76,0
Waikuku Beach,"Waikuku Beach Hall, Corner Park Terrace & Domain Road",22,3,0,28,0,129,0,55,6,10,0,0,0,3,0,5,0,261,3
West Eyreton,"West Eyreton School Hall, 1650 North Eyre Road",63,2,2,8,0,109,1,127,9,10,0,1,2,0,0,3,0,337,1
Woodend,"Woodend Community Centre, 6A School Road",53,3,3,23,0,240,0,142,23,22,2,0,2,0,0,5,0,518,3

,Overseas Special Votes Including Defence Force - Waimakariri,23,1,2,81,0,312,0,114,12,5,0,0,0,1,0,14,0,565,1
,Overseas Votes Allowed for Party Only - Waimakariri,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
,Special Votes BEFORE Polling Day - Waimakariri,273,57,27,181,1,1661,8,786,89,58,4,6,2,3,1,38,4,3199,37
,Special Votes ON Polling Day - Waimakariri,195,36,28,110,1,862,9,517,55,46,3,2,1,7,1,38,0,1911,19
,Votes Allowed for Party Only - Waimakariri,10,4,8,14,0,123,2,47,5,4,0,0,0,1,0,4,0,222,5
,Voting places where less than 6 votes were taken,3,0,0,0,0,8,0,10,1,1,0,0,0,0,0,1,0,24,0

,Waimakariri Total,4324,353,174,2168,3,23088,74,13245,1399,989,37,49,40,55,14,435,20,46467,356

,Valid Party Votes plus Informal Party Votes,,46823

Electorate Party Valid Votes,,,Labour Party - 49.69%
ACT New Zealand,4324,9.31
Advance NZ,353,0.76
Aotearoa Legalise Cannabis Party,174,0.37
Green Party,2168,4.67
HeartlandNZ,3,0.01
Labour Party,23088,49.69
Māori Party,74,0.16
National Party,13245,28.50
New Conservative,1399,3.01
New Zealand First Party,989,2.13
NZ Outdoors Party,37,0.08
ONE Party,49,0.11
Social Credit,40,0.09
Sustainable New Zealand Party,55,0.12
TEA Party,14,0.03
The Opportunities Party (TOP),435,0.94
Vision New Zealand,20,0.04
