Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast
,Rest Homes Team - Taken in East Coast,0,0,0,2,0,15,4,0,0,1,0,0,0,0,1,0,0,23,0
Gisborne,"Gisborne Central School Hall, 7 Central Street",1,0,0,3,0,14,2,1,0,3,0,0,0,0,0,1,0,25,0
,"Gisborne Hospital, Poutama Room, 421 Ormond Road",0,2,0,1,0,47,2,1,0,1,0,0,0,0,0,0,0,54,0
,"House of Breakthrough, Corner Lytton & Ormond Roads",1,8,1,16,0,188,30,7,2,9,1,1,0,0,0,1,0,265,4
,"Kaiti Hub, 498-508 Wainui Road",3,25,15,82,0,767,98,9,6,39,0,15,0,0,0,4,4,1067,18
,"Lawson Field Theatre, 7 Fitzherbert Street",0,1,0,0,0,22,2,0,0,0,0,3,0,0,0,0,0,28,0
,"St Mark's Hall, 776 Childers Road",3,2,1,7,0,94,22,0,0,2,0,0,0,0,0,3,1,135,1
,"Te Tihi o Titirangi Kōhanga Reo, 24 Ranfurly Street",0,0,0,1,0,14,4,0,0,0,0,0,0,0,0,0,0,19,0
,"Te Whakaruruhau Kōhanga Reo, 170 Tyndall Road",0,1,0,4,0,17,4,0,1,2,0,0,0,0,0,0,0,29,0
,"Treble Court One, Peel Street",5,14,5,66,0,494,82,9,3,30,1,4,0,0,0,2,4,719,9
,"Treble Court Two, Bright Street",2,11,5,24,0,243,57,10,1,9,1,4,0,0,0,4,2,373,6
,"Waikirikiri School, 7 Pickering Street",0,1,1,0,0,22,6,0,0,0,0,0,0,0,0,0,0,30,0
Ruatoria,"Hati Nati Cafe, 163 Waiomatatini Road",2,10,1,24,0,136,36,3,1,10,0,0,0,0,0,2,0,225,1
Tolaga Bay,"Tolaga Bay Area School Kahukuranui Block, Discovery Street",0,4,0,3,0,59,4,0,1,3,0,0,0,0,0,0,0,74,3
Hutt South
Belmont,"Belmont Hall, 711 Western Hutt Road",1,0,0,2,0,12,3,3,0,0,0,0,0,0,0,0,0,21,0
Epuni,"Epuni School Hall, 313 Waiwhetu Road",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",0,0,0,9,0,33,6,2,0,2,1,1,0,0,0,0,0,54,1
Kelson,"Kelson School, 52 Taieri Crescent",0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,6,0
Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",1,5,4,35,0,191,26,9,2,8,2,1,0,1,0,1,3,289,8
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",0,0,0,4,0,20,2,1,0,1,0,0,0,0,0,1,0,29,1
Moera,"Moera Community Hall, 107 Randwick Crescent",0,0,1,1,0,14,0,1,0,0,0,0,0,0,0,1,0,18,1
Petone,"Petone Library and Heritage Centre, 7 Britannia Street",0,0,1,2,0,31,5,4,0,3,0,0,0,0,0,1,0,47,0
,"Petone Working Men's Club, 47 Udy Street",1,0,0,3,0,15,2,1,0,2,0,0,0,0,0,0,0,24,0
Seaview,"Kokiri Marae, 7-9 Barnes Street",0,0,0,4,0,34,6,0,0,2,0,3,0,0,0,0,0,49,0
Wainuiomata,"Wainuiomata Community Hub, Library Building, 1 Queen Street",0,1,0,6,0,50,7,1,1,5,0,0,0,0,0,0,0,71,4
,"Wainuiomata Intermediate School, 66 Konini Street",0,0,0,1,0,14,4,1,0,2,0,0,0,0,0,0,0,22,0
,"Wainuiomata Marae, 153-201 Parkway",0,0,0,1,0,15,3,0,0,0,0,0,0,0,0,0,0,19,0
,"Wainuiomata Primary School, 1 Homedale Road",0,1,0,1,0,16,4,1,0,0,0,0,0,0,0,0,0,23,1
,"Wainuiomata War Memorial Hall, 1 Queen Street",2,13,3,28,0,361,50,8,0,13,3,4,0,0,0,0,7,492,7
Waiwhetu,"Waiwhetu Marae Meeting House, 21 Puketapu Grove",0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,8,0
Napier
