Party and Electorate Candidate Votes Recorded at each Voting Place
Tāmaki Makaurau 68,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Auckland Central
Auckland City,"159 Nelson Street, Corner Nelson & Union Streets",1,0,0,3,0,3,3,0,0,1,0,0,0,0,0,1,0,12,0
,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",2,1,1,44,0,48,10,4,0,0,0,0,0,0,0,1,2,113,1
,"ASB Waterfront Theatre, 138 Halsey Street",0,0,1,1,0,12,1,1,0,0,0,0,0,0,0,1,0,17,2
,"Level 3 Atrium on Elliot, Elliot Street",0,0,2,15,0,47,10,3,0,2,0,0,0,0,0,2,0,81,2
,"Liston Hall, 30-32 Hobson Street",0,0,0,7,0,28,2,6,0,3,0,0,0,0,0,0,0,46,0
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",3,0,1,24,0,32,9,4,0,2,0,0,0,0,0,3,0,78,1
Freemans Bay,"Freemans Bay Primary School, 95 Wellington Street",0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,8,1
Grafton,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",2,0,0,17,0,15,0,2,0,1,0,0,0,0,0,2,0,39,1
Herne Bay,"Bayfield School, 2 Clifton Road",0,0,0,2,0,12,3,2,0,0,0,0,0,0,0,0,0,19,0
Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",5,1,0,28,0,58,5,7,0,3,0,0,0,0,0,2,0,109,0
Waiheke Island,"Waiheke High School, 11 Donald Bruce Road",0,2,0,3,0,9,0,0,0,1,0,0,0,0,0,0,0,15,0
,"Waiheke Library, 131 Ocean View Road",1,4,1,30,0,87,11,2,0,5,0,0,0,0,0,3,0,144,3
Botany
Botany,"Botany Library, Level 1, Sunset Terrace",2,5,0,11,0,71,8,8,1,9,0,0,0,0,0,2,2,119,0
,"Eastview Baptist Church & Community Centre, 559 Chapel Road",0,0,0,3,0,23,2,4,1,2,0,0,0,0,0,0,0,35,0
,"Botany Downs Secondary College, 575 Chapel Road",0,0,0,0,0,10,3,1,0,0,0,0,0,0,0,0,0,14,0
Burswood,"China Town, 262 Ti Rakau Drive",1,0,1,6,0,15,2,0,0,2,0,0,0,0,0,0,1,28,0
Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,1,0,16,0
Clover Park,"Tupu Youth Library, 102 Dawson Road",0,16,2,12,0,235,37,4,2,8,0,0,0,0,0,1,5,322,6
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",1,2,1,0,0,50,0,2,1,4,0,0,0,0,0,1,1,63,0
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,12,0
,"Kia Aroha College, 51 Othello Drive",0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,11,0
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",0,1,0,2,0,13,1,2,0,4,0,0,0,0,0,1,0,24,0
Somerville,"Somerville Intermediate School, 39 Somerville Road",0,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,9,0
Epsom
Epsom,"Epsom Girls Grammar School, Old Gym, Gate 4, Owens Road",1,0,0,4,0,3,0,2,0,0,0,0,0,0,0,1,0,11,0
,"St Andrew's Church Upper Room, 100 St Andrews Road",0,0,1,8,0,8,1,1,0,0,0,0,0,0,0,1,0,20,0
,"St George's Church Youth Rooms, 19 Ranfurly Road",0,0,0,5,0,10,0,3,0,0,0,0,0,0,0,0,0,18,0
Mt Eden,"Auckland Grammar School Hockey Centre, 3/25 Normanby Road",0,0,0,8,0,15,4,1,0,0,0,1,0,0,0,0,1,30,0
,"Auckland Provincial Guide Centre, 132 Grange Road",3,0,0,6,0,13,4,0,0,0,0,0,0,0,0,0,0,26,0
,"Greyfriars Presbyterian Church - McKinney Hall, 544 Mt Eden Road",3,0,0,6,0,17,1,1,1,1,0,0,0,0,0,0,0,30,0
,"Mt Eden Normal Primary School, 73 Valley Road",0,0,0,5,0,6,2,1,0,2,0,0,0,0,0,1,0,17,0
,"University of Auckland, Epsom Campus, Room B118, 74 Epsom Avenue (Gate 3)",0,0,0,5,0,16,4,0,0,1,0,0,0,0,0,0,0,26,0
,"Valley Road International Church Hall, 393 Mt Eden Road",0,1,0,4,0,6,2,5,0,1,0,0,0,0,0,0,0,19,0
Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",3,1,0,42,0,43,12,16,1,2,0,0,0,0,0,2,0,122,0
Parnell,"Parnell Community Centre, Parnell Room, 545 Parnell Road",3,1,0,15,0,14,5,2,0,3,0,1,0,1,0,2,0,47,1
,"Parnell District School Hall, 48 St Stephens Avenue",3,0,0,6,0,12,2,4,0,0,0,0,0,0,0,1,0,28,0
Remuera,"Remuera Bowling Club, 5 Dromorne Road",0,0,0,6,0,5,0,3,0,0,0,0,0,0,0,0,0,14,0
,"Remuera Intermediate School, 55 Ascot Avenue",0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0
,"St Aidan's Church Social Lounge, 5 Ascot Avenue",0,1,0,3,0,9,1,2,0,0,0,0,0,0,0,0,0,16,0
,"St Mark's Church Hall, 95 Remuera Road",0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,0,0,12,0
Kaipara ki Mahurangi
Massey,"Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street",0,1,0,1,0,14,4,2,0,2,0,0,0,0,0,0,0,24,0
Warkworth,"Unit 7, 1/9 The Grange Warkworth, Fairwater Road",0,0,0,1,0,5,1,1,0,1,0,0,0,0,0,0,0,9,0
Whenuapai,"NorthWest Mall, Shop 20A, Maki Street",1,0,0,1,0,8,1,1,0,1,0,0,0,0,0,1,0,14,0
Kelston
Avondale,"Avondale Intermediate School, 12 Holly Street",0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0
,"Rosebank Peninsula Church, 212 Rosebank Road (corner Orchard Street)",0,1,0,7,0,40,3,0,0,3,0,0,0,0,0,2,1,57,0
,"Rosebank School, 217 Rosebank Road",0,0,0,0,0,4,1,3,0,1,0,0,0,0,0,0,0,9,0
Glendene,"Glendene School, 60 Barrys Road",0,0,0,1,0,8,0,2,1,1,0,0,0,0,0,0,0,13,0
