Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Mana
,Mana Mobile Team,0,1,2,0,0,8,1,1,0,1,0,0,0,0,0,0,0,14,0
,Mana Mobile Team - Te Wānanga,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
Aotea,"Aotea College Gym, Entrance from Whitford Brown Drive",0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,8,0
,"Horouta Marae Kōhanga Reo, 5 Whitford Brown Avenue",0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,1,12,0
Ascot Park,"Rangikura School Hall, 95 Conclusion Street",0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,16,0
Cannons Creek,"Cannons Creek School Hall, 5 Warspite Avenue",0,0,1,0,0,30,9,0,0,2,0,0,0,0,0,0,0,42,0
,"Hosanna Baptist Church, Corner Warspite Avenue & Driver Crescent",0,1,2,6,0,65,4,0,0,4,0,0,0,0,0,1,0,83,2
,"Russell School Hall, 18 Fantame Street",0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0
Elsdon,"Dogs NZ Wellington Exhibition Centre, 11 Prosser Street",0,0,1,0,0,16,0,1,0,1,0,0,0,0,0,0,0,19,0
Linden,"Linden Social Centre, 10 Linden Avenue",0,0,0,2,0,6,3,0,0,0,0,1,0,0,0,0,0,12,0
Paekākāriki,"Paekākāriki School Hall, 100 Wellington Road",0,0,0,6,0,9,0,1,0,0,0,0,0,0,0,0,0,16,0
Papakōwhai,"Papakōwhai School Hall, 17 Spey Place",0,0,0,3,0,2,1,2,0,0,0,0,0,0,0,0,0,8,0
Paraparaumu,"Paraparaumu School Hall, 11 Ruapehu Street",0,0,0,4,0,8,0,2,0,0,0,0,0,0,0,0,0,14,0
Paremata,"Paremata School Hall, 43 Paremata Crescent",1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,7,0
Plimmerton,"Plimmerton School Hall, 11 School Road",0,0,0,4,0,14,2,2,0,1,0,0,0,0,0,0,0,23,0
Porirua,"City Hub, 7 Serlby Place, Cobham Court",1,2,0,4,0,28,3,1,0,2,0,0,0,0,0,0,0,41,2
