Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Tokerau 70,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast Bays
Albany,"Albany Community Hub, 575 Albany Highway",6,1,0,7,0,18,5,6,0,2,1,0,0,0,0,0,0,46,0
,"Westfield Mall, 219 Don McKinnon Drive",3,3,0,16,0,63,7,19,0,3,0,0,0,0,0,3,0,117,1
,"East Coast Bays Service Centre, 2 Glen Road",1,2,0,3,0,22,6,6,0,1,0,0,0,0,0,1,0,42,0
,"Pinehill School, 2 Hugh Green Drive",0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,10,0
,"Progress Hall, 6 Anzac Road",1,1,0,4,0,11,3,1,0,0,0,0,0,0,0,0,0,21,0
Long Bay,"Long Bay College, 20 Ashley Avenue",0,0,0,5,0,12,1,2,0,0,0,0,0,0,0,1,0,21,0
Mairangi Bay,"Rangitoto College, 564 East Coast Road",1,0,0,4,0,8,0,7,0,1,0,0,0,0,0,1,0,22,1
,"Windsor Park Baptist Church, 550 East Coast Road",4,0,0,6,0,8,1,4,0,2,0,0,0,0,0,1,0,26,0
Rosedale,"Kowhai Kids Centre, 265 Albany Highway",0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,6,0
Torbay,"Glamorgan School, 145 Glamorgan Drive",0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,6,0
,"Torbay Senior Citizens Club, 37 Watea Road",0,1,0,1,0,9,4,3,0,3,0,0,0,0,0,0,0,21,0
Kaipara ki Mahurangi
Helensville,"St Joseph's Catholic Church Hall, 1 Puriri Street",6,5,3,9,0,109,7,7,1,11,0,0,0,0,0,0,0,158,3
Huapai,"St Patrick's Church Huapai, 380 Main Road",2,3,0,6,0,31,7,4,1,1,0,0,0,0,0,0,0,55,1
Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",3,3,2,2,0,28,5,4,0,5,0,0,0,0,0,0,0,52,2
Kumeū,"Kumeu Showgrounds, 35-41 Access Road",0,1,0,8,0,35,5,6,0,2,1,0,0,0,0,1,0,59,1
Massey,"Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street",7,1,3,25,0,147,21,14,3,9,0,1,0,0,0,4,0,235,0
Matakana,"Matakana Community Hall, 43 Matakana Valley Road",1,2,0,2,0,20,1,5,0,1,0,1,0,0,0,0,0,33,1
Snells Beach,"Mahurangi East Community Centre, 21 Hamatana Road",1,0,0,3,0,33,2,8,0,4,0,0,0,0,0,1,0,52,2
Te Hana,"Te Hana Community Hall, 12 Whakapirau Road",1,0,1,0,0,29,4,2,0,1,0,1,0,0,0,0,0,39,1
Waimauku,"Waimauku War Memorial Hall, 24 Waimauku Station Road",1,2,0,8,0,25,5,9,0,5,0,1,0,0,0,0,0,56,0
Warkworth,"Unit 7, 1/9 The Grange Warkworth, Fairwater Road",1,1,1,5,0,45,7,6,1,3,0,0,0,0,0,1,0,71,0
,"Warkworth Masonic Lodge (above Westpac Bank), 12 Baxter Street",1,0,0,5,0,17,4,3,1,1,0,0,0,0,0,0,0,32,0
,"Warkworth Old Masonic Hall, 3 Baxter Street",1,3,1,5,0,51,3,4,1,5,0,2,0,0,0,0,0,76,2
Wellsford,"Wellsford District Community Centre, 1 Matheson Road",3,2,1,4,0,65,11,6,1,7,0,3,0,0,0,2,1,106,0
Whenuapai,"Defence Force Base, RNZAF Base Airport Drive",0,0,0,0,0,11,3,3,0,2,0,0,0,1,0,0,0,20,0
,"NorthWest Mall, Shop 20A, Maki Street",5,3,0,15,0,72,14,9,1,5,0,1,0,0,0,1,3,129,0
Kelston
,"Our Lady of Lourdes Catholic Church, 7 Glendale Road",0,0,0,1,0,7,4,1,0,1,0,0,0,0,0,0,0,14,1
Sunnyvale,"Kelston Community Centre, 126 Awaroa Road",1,1,1,3,0,12,5,0,0,0,0,0,0,0,0,0,0,23,0
New Lynn
Waitākere,"Waitakere Township Hall, 37 Township Road",0,2,0,0,0,11,0,4,0,0,0,0,0,0,0,1,0,18,0
North Shore
Bayswater,"Bayswater School, 181 Bayswater Avenue",2,0,3,5,0,15,3,2,0,3,0,0,0,0,0,0,0,33,0
Belmont,"Belmont Intermediate School, 10 Winscombe Street (Gate 2)",0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,6,0
Devonport,"North Shore Rugby Club, Cambridge Terrace",1,1,0,19,0,45,11,8,0,6,0,1,0,0,0,0,0,92,0
Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",1,0,0,4,0,15,1,3,0,2,0,0,0,0,0,2,0,28,0
,"Milford Shopping Centre, Shop next to Whitcoulls, 24 Milford Road",6,0,0,18,0,47,4,12,0,9,0,1,0,0,0,5,0,102,1
Narrow Neck,"Vauxhall School, Morrison Avenue",0,0,0,2,0,8,3,0,0,1,0,0,0,0,0,1,0,15,0
Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",0,0,1,4,0,30,4,4,0,3,0,0,0,0,0,2,0,48,0
,"Sunnynook School, 27 Lyford Crescent",1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0
,"Wairau Intermediate School, 113 Becroft Drive",0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,6,0
,"Takapuna War Memorial Hall, 7 The Strand",0,2,0,11,0,38,11,5,0,2,0,0,0,0,0,3,0,72,0
Northcote
Beach Haven,"Beach Haven Community House, 130 Beach Haven Road",1,0,0,6,0,21,2,2,1,4,0,0,0,0,0,0,1,38,0
,"Beach Haven Primary School, 50 Tramway Road",0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,11,0
,"Maria Assumpta Parish Hall, 198 Beach Haven Road",0,1,1,16,0,69,12,0,0,7,0,1,0,0,0,5,0,112,0
Birkdale,"Birkdale Intermediate School, 200 Birkdale Road",0,0,0,7,0,26,0,0,0,1,0,0,0,0,0,0,0,34,0
,"Birkdale North School, 213 Birkdale Road",0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,0,15,0
,"Shop T30 Highbury Mall, Corner Highbury Bypass & Birkenhead Avenue",4,4,0,20,0,106,22,5,0,6,0,2,0,0,0,2,1,172,1
Glenfield,"Glenfield College, 52-60 Kaipatiki Road",0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,10,0
,"Glenfield Primary School, 101 Chivalry Road",0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,9,0
,"Marlborough Primary School, 4 Wykeham Place",0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,8,0
,"The Salvation Army Glenfield, 430 Glenfield Road (corner Glenfield & Kaipatiki Roads)",1,1,3,17,0,97,19,3,0,3,0,0,0,0,0,1,1,146,1
,"Windy Ridge School, 54 Seaview Road",0,1,0,1,0,6,2,0,0,2,0,0,0,0,0,0,0,12,0
Northcote,"AUT North Campus, AF113A, 90 Akoranga Drive",2,0,0,3,0,18,0,0,0,1,0,0,0,0,0,0,1,25,0
,"Northcote Citizens Centre Hall, Corner Ernie Mays Street & College Road",1,4,1,18,0,62,13,5,0,8,0,1,0,0,0,2,0,115,0
,"Northcote Intermediate, 145 Lake Road",0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,8,0
,"Northcote Primary School, Corner Lake & Onewa Roads",0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,8,0
,"St Luke's Methodist Church, 16 Greenslade Crescent",1,0,0,2,0,8,1,3,0,0,0,0,0,0,0,1,0,16,0
,"Sunnybrae Normal School, 36 Sunnybrae Road",1,0,0,1,0,9,0,2,0,1,0,0,0,0,0,0,0,14,0
,"Willow Park School, 13 Compton Street",1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,13,0
Northcote Point,"Northcote Point Senior Citizens Association Hall, 119 Queen Street",1,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,10,0
Northland
,Rest Homes Team - Taken in Northland,0,0,0,1,0,17,3,2,0,1,0,0,0,0,0,1,0,25,0
Ahipara,"Ahipara School, Main Road",0,0,1,0,0,16,1,0,0,5,0,2,0,0,0,0,0,25,0
Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",1,6,8,7,0,147,16,4,1,21,2,7,0,0,0,1,0,221,3
,"Northern Wairoa Memorial Hall, Conference Room, 37 Hokianga Road",2,0,4,2,0,95,16,0,1,19,0,0,0,0,0,1,0,140,3
,"The Lighthouse Church Hall, 78 Normanby Street",0,0,0,1,0,6,1,1,1,1,0,0,0,0,0,0,0,11,0
Houhora,"Pukenui School, 35 Lamb Road",0,0,0,1,0,4,0,0,0,3,0,0,0,0,0,0,0,8,0
Kaeo,"Whangaroa Memorial Hall, Leigh Street, State Highway 10",0,6,1,4,0,87,13,2,0,11,0,4,0,0,0,0,1,129,5
Kaikohe,"Kaikohe Baptist Church, 32 Broadway",4,16,24,19,0,397,65,3,2,48,0,14,0,0,1,2,5,600,13
,"Kaikohe War Memorial Hall, Supper Room, Memorial Ave",5,24,15,29,0,436,64,7,1,74,1,14,0,0,0,4,3,677,17
,"Northland Region Correctional Facilities, Ohaeawai Road State Highway 12",0,0,1,2,0,14,4,0,0,2,0,0,0,0,0,0,0,23,3
Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",4,9,22,21,0,401,81,8,3,46,1,7,0,0,0,4,2,609,7
,"Kaitaia Intermediate School, 45 North Road",0,0,0,0,0,10,1,0,0,2,0,0,0,0,0,0,0,13,0
,"Te Ahu, Corner South Road & Matthews Avenue",5,25,27,56,0,458,63,15,3,75,3,6,0,1,0,8,4,749,16
Kaiwaka,"Kaiwaka War Memorial Hall, 4 Kaiwaka-Mangawhai Road",1,0,0,2,0,9,2,0,0,1,0,1,0,0,0,0,0,16,2
Kawakawa,"Kawakawa Baptist Church, Level 1/19 Gillies Street",1,12,14,23,0,397,35,5,2,36,0,11,0,0,0,3,0,539,10
Kerikeri,"Kerikeri Baptist Church, 41 Hobson Avenue",5,7,6,19,0,105,13,4,2,14,1,3,0,0,0,3,0,182,2
,"Turner Centre, 43 Cobham Road",2,6,2,9,0,129,9,5,1,20,1,1,0,1,0,0,0,186,1
Mangamuka,"Mangamuka Tautoko FM Radio Building, 4137 State Highway 1 (corner SH1 & Mangamuka Road)",0,2,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,16,0
Mangawhai,"Mangawhai Public Library Hall, 45 Moir Street",1,2,0,1,0,28,3,2,1,3,0,0,0,0,0,0,0,41,2
,"Mangawhai Museum, Tara Schoolhouse, Corner of Molesworth Drive and Thelma Road",0,1,0,3,0,38,3,2,0,5,0,0,0,0,0,0,0,52,0
Mangōnui,"St John Ambulance Service, 7 St Johns Road, Coopers Beach",3,6,4,9,0,109,16,2,1,11,0,0,0,0,0,1,0,162,1
Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",3,0,0,2,0,34,1,2,0,4,0,1,0,0,0,0,0,47,2
Moerewa,"Moerewa School, 70 Otiria Road",0,2,1,1,0,48,3,0,0,4,0,0,0,0,0,0,0,59,1
Ōmāpere,"Opononi Area School, 263 State Highway 12",0,2,1,4,0,27,3,1,0,2,0,3,0,0,0,0,0,43,2
Paihia,"Paihia Memorial & Community Hall, 8 Williams Road",0,6,6,13,0,114,20,5,0,22,0,3,0,0,0,1,0,190,3
Rawene,"Rawene Town Hall, 9 Parnell St",0,0,2,9,0,69,6,0,0,10,0,3,0,0,0,0,0,99,1
Ruawai,"Ruawai Primary School, 4376 State Highway 12",0,1,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,11,0
Russell,"Russell School, 8 Baker Street",1,0,0,1,0,22,3,2,0,3,0,0,0,0,0,0,0,32,1
Taipa,"Doubtless Bay Squash Club, 10 East Street",0,3,2,0,0,21,0,0,0,2,0,0,0,0,0,0,0,28,0
Te Kao,"Whakawhiti Ora Pai, 6652 Far North Road",1,0,0,1,0,28,11,2,0,3,0,0,0,0,0,0,0,46,1
Waipapa,"Broadway Health, 5 Klinac Lane",1,0,0,2,0,23,6,0,0,1,0,0,0,0,0,0,1,34,0
,"Waipapa Baysport, Pavilion, Harmony Lane",2,0,0,1,0,23,1,0,0,2,0,0,0,0,0,0,0,29,2
Te Atatū
,"Henderson South School, 24 Garelja Road",0,0,0,3,0,10,2,0,1,2,0,0,0,0,0,0,0,18,0
,"Te Pai Centre Waitākere Netball, 31-35 Te Pai Place",1,2,3,14,0,97,36,5,4,7,0,1,0,0,0,1,0,171,3
,"Waitākere Central Library, 3 Ratanui Street",0,1,0,5,0,24,7,0,0,1,0,2,0,0,0,0,2,42,2
,"Waitākere College, 42 Rathgar Road (Gate 2)",0,0,0,2,0,11,1,1,0,0,0,0,0,0,0,0,0,15,0
,"West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street",1,2,5,21,0,203,55,10,1,11,0,2,0,1,0,3,1,316,5
Lincoln North,"Pomaria Primary School, 33a Pomaria Road",0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,17,1
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",0,7,1,11,0,101,26,2,0,2,0,2,0,0,0,0,0,152,3
,"Ranui Primary School, 16a Ranui Station Road",0,1,0,0,0,14,5,1,0,1,0,0,0,0,0,1,0,23,2
Swanson,"Swanson School, 703 Swanson Road",1,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,12,0
Te Atatū Peninsula,"Matipo Primary School, 63b Matipo Road",0,0,0,2,0,9,1,1,0,1,0,0,0,0,0,0,0,14,0
,"Rutherford Primary School, 2 Kotuku Street",0,1,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,11,0
,"Te Atatū Intermediate School, 8-12 Harbour View Road",0,0,1,2,0,16,3,0,0,0,0,0,0,0,0,1,0,23,0
,"Te Atatū Peninsula Community Centre, 595 Te Atatu Road",2,3,4,48,0,176,90,10,0,14,0,1,0,0,0,4,2,354,5
,"St Giles Presbyterian Church, 1 Flanshaw Road",0,1,2,2,0,15,5,0,1,0,0,0,0,0,0,0,0,26,3
Western Heights,"Sturges West Community House, 58 Summerland Drive",1,4,0,4,0,21,9,0,1,5,0,0,0,0,0,0,0,45,0
,"Western Heights School, 126 Sturges Road",1,0,0,2,0,13,3,0,0,1,0,0,0,0,0,1,0,21,0
Upper Harbour
Glenfield,"Bayview Primary School, 60 Bayview Road",1,0,0,2,0,13,4,0,0,1,0,0,0,0,0,0,0,21,0
,"Girl Guides Glenfield (next to Glenfield War Memorial Hall), Hall Road",1,0,1,3,0,27,3,1,0,0,0,0,0,0,0,1,0,37,1
,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",1,1,0,1,0,21,2,2,0,1,0,0,0,0,0,1,0,30,0
,"St Thomas More Catholic Church Hall, Glenfield, 4 St Thomas More Lane",0,0,0,8,0,7,7,0,1,2,0,0,0,0,0,1,0,26,0
,"Target Road Primary School, Totara Vale, 80 Target Road",1,0,1,3,0,22,2,1,0,1,0,1,0,0,0,0,0,32,0
Greenhithe,"Greenhithe Community Hall, 7 Greenhithe Road",2,0,0,3,0,6,0,4,0,0,0,0,0,0,0,0,0,15,0
,"Greenhithe School Hall, Sunnyview Road Entrance (next to 6 Sunnyview Road)",0,0,0,4,0,8,0,2,0,0,0,0,0,0,0,0,0,14,0
,"St Michael's Anglican Church Hall, Greenhithe, 12 Greenhithe Road",1,0,0,0,0,5,1,2,0,1,0,0,0,0,0,0,0,10,0
Hobsonville Point,"Catalina Bay (building opposite Farmers Market), Hobsonville Point, Hudson Bay Road Extension",1,0,1,5,0,10,2,1,0,1,0,0,0,0,0,1,0,22,0
,"Hobsonville Point Primary School, 18 De Havilland Road",1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0
,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",0,0,0,10,0,8,0,3,0,1,0,0,0,0,0,0,0,22,0
,"Lincoln Heights School, Massey West, 16 Keegan Drive",0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0
,"Massey Community Hub Massey Matters, Massey West, 385 Don Buck Road",1,1,5,3,0,58,11,1,0,2,0,0,0,0,0,1,0,83,5
,"Massey High School, Massey West, 274 Don Buck Road",1,1,1,12,0,74,16,3,1,3,0,0,0,0,0,1,0,113,0
,"Massey Methodist Church, Massey West, 112 Waimumu Road",1,0,4,4,0,48,15,2,0,3,0,0,0,0,0,0,0,77,1
West Harbour,"Marina View School, West Harbour, 97 Marina View Drive",1,0,0,1,0,9,1,1,0,0,0,0,0,0,0,0,0,13,0
,"Westgate Baptist Church, West Harbour, 67 Hobsonville Road",4,1,0,1,1,26,7,4,0,0,0,0,0,0,0,2,0,46,0
,"West Harbour Alliance Church, 145 Moire Road",1,2,2,2,0,35,5,5,0,3,0,0,0,0,0,0,0,55,0
Whangaparāoa
Manly,"Manly Methodist Church, 945 Whangaparaoa Road",0,1,1,3,0,23,2,6,0,5,0,0,0,0,0,0,0,41,0
Orewa,"Hibiscus Coast Youth Centre, 214D Hibiscus Coast Highway",1,0,0,2,0,10,0,1,0,1,0,0,0,0,0,0,0,15,1
,"Orewa Beach School, 280 Centreway Road",1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0
,"Orewa Community Centre, 40-46 Orewa Square",2,0,2,9,0,53,5,11,0,10,0,1,0,0,0,0,0,93,1
Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",1,0,0,2,0,22,1,7,1,1,0,0,0,0,0,1,0,36,1
,"Northgate Baptist Church, 6 Hibiscus Coast Highway",0,2,0,1,0,11,1,6,0,2,1,0,0,0,0,0,0,24,0
,"Silverdale Centre, Shop 12, 61 Silverdale Street",1,6,1,8,0,54,11,16,0,4,1,1,0,0,0,0,0,103,0
Stanmore Bay,"Stanmore Bay Pool and Leisure Centre, 159 Brightside Road",1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0
,"Stanmore Bay School, 30 Waiora Road",0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,10,0
Whangaparāoa,"Coast Plaza Whangaparāoa, Shop 308, 719 Whangaparaoa Road",7,1,1,11,0,92,4,7,0,6,0,0,0,0,0,3,0,132,0
Whangārei
Glenbervie,"Glenbervie School Hall, 151 Ngunguru Road",0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,8,0
Hikurangi,"Hikurangi Hall, 24 King Street",0,4,2,7,0,76,10,0,2,7,0,3,0,0,0,3,2,116,2
Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",4,6,10,12,0,129,14,11,1,15,0,1,0,0,0,4,1,208,2
,"Kamo Intermediate School Hall, 10 Hailes Road",0,1,0,1,0,9,1,0,0,0,0,2,0,0,0,0,0,14,0
,"Kamo Primary School Hall, 6 Three Mile Bush Road",0,1,0,4,0,14,1,0,0,1,0,1,0,0,0,0,0,22,2
Kensington,"Northland Table Tennis Centre, ASB Sports Complex, 193 Western Hills Drive",1,4,3,13,0,68,9,3,2,8,0,3,0,0,0,0,1,115,1
,"St Johns Church, Leigh Hall, 149 Kamo Road",0,1,0,4,0,18,3,0,0,0,0,2,0,0,0,0,0,28,0
Maungatapere,"Maungatapere School Hall, Mangakahia Road",1,2,0,2,0,11,1,1,0,2,0,0,0,0,0,0,0,20,0
Maunu,"Maunu Primary School Hall, 13 Austin Road",0,1,0,1,0,5,1,1,0,4,0,0,0,0,0,2,0,15,0
,"Northland Vintage Car Clubrooms - Kiwi North, Gate 2 , 500 SH14",2,0,1,3,0,42,3,1,1,7,0,0,0,0,0,2,0,62,1
Ngunguru,"Ngunguru Community Hall, 1879 Ngunguru Road",0,1,0,6,0,34,4,2,0,3,0,1,0,0,0,2,0,53,0
Okara,"Northland Cricket Association Clubrooms Upstairs Lounge, 79 Okara Drive",1,9,4,9,0,143,12,5,0,22,0,1,0,0,0,0,2,208,2
Onerahi,"Onerahi Bowling Club, 35 Alamein Avenue",1,0,6,9,0,80,4,0,1,9,0,3,0,0,0,1,1,115,1
Otangarei,"Otangarei Rugby Club, 10 Matai Street",0,2,4,1,0,54,9,0,0,7,0,0,0,0,0,0,1,78,0
